Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
16,0.4621,2449,1.9261,0.7954,0.2370,0.7936,0.9084,0.8843,0.6755,0.7940,0.7146,0.6742,0.8013,0.7427,0.8806,0.8693,0.7649,0.7179,0.9140,0.7330,0.6647,0.7643,0.5496,0.5526,0.3015,0.2169,0.4250,0.3947,0.5776,0.4676,0.3597,0.3889,0.5000,1059.8,5266.0,100.0
17,0.4311,2449,1.9068,0.7963,0.2287,0.7952,0.9130,0.8808,0.6718,0.7870,0.7125,0.6834,0.8117,0.7650,0.8738,0.8789,0.7493,0.7212,0.9045,0.6539,0.6301,0.7725,0.6474,0.4775,0.3905,0.2892,0.3250,0.4436,0.6121,0.5612,0.3381,0.3737,0.5000,1059.8,5266.0,100.0
18,0.3861,2449,2.1506,0.7905,0.2356,0.7883,0.9139,0.8800,0.6710,0.7929,0.7062,0.6640,0.7980,0.7360,0.8768,0.8667,0.7547,0.7161,0.9022,0.6848,0.5665,0.7818,0.6423,0.4715,0.4187,0.0964,0.3708,0.4135,0.5172,0.5252,0.2734,0.3030,0.5000,1059.8,5266.0,100.0
19,0.3556,2449,2.4406,0.7868,0.2427,0.7796,0.9090,0.8758,0.6709,0.7814,0.7047,0.6874,0.7985,0.7316,0.8686,0.8617,0.7288,0.7266,0.8906,0.5970,0.4335,0.7701,0.5920,0.3844,0.4230,0.1928,0.3542,0.3120,0.3879,0.4245,0.1439,0.2071,0.5000,1059.8,5266.0,100.0
20,0.3267,2449,2.1886,0.7875,0.2345,0.7882,0.9124,0.8753,0.6730,0.7730,0.7074,0.6838,0.7960,0.7236,0.8851,0.8569,0.7497,0.7135,0.8869,0.6687,0.5549,0.7783,0.6314,0.4655,0.4382,0.1928,0.3833,0.3233,0.4138,0.4173,0.3525,0.3737,0.4000,1059.8,5266.0,100.0
21,0.3026,2449,2.4013,0.7805,0.2307,0.7648,0.9036,0.8754,0.6714,0.7720,0.6857,0.6329,0.7956,0.7209,0.8719,0.8683,0.7388,0.7037,0.9223,0.5896,0.4855,0.7550,0.5978,0.4264,0.3774,0.1205,0.3958,0.3459,0.4914,0.4748,0.2302,0.2273,0.4000,1059.8,5266.0,100.0
22,0.2783,2449,2.5257,0.7850,0.2358,0.7755,0.9081,0.8741,0.6729,0.7826,0.6890,0.6746,0.7945,0.7128,0.8814,0.8489,0.7427,0.7211,0.9119,0.5748,0.5087,0.6849,0.5416,0.4505,0.3384,0.1566,0.3833,0.2406,0.4310,0.3813,0.2302,0.2727,0.6000,1059.8,5266.0,100.0
23,0.2464,2449,2.9975,0.7773,0.2337,0.7620,0.9048,0.8666,0.6756,0.7691,0.6912,0.6806,0.7937,0.7061,0.8548,0.8372,0.7422,0.6920,0.9068,0.4536,0.4220,0.6873,0.5073,0.4414,0.3774,0.0723,0.3042,0.1278,0.2241,0.3165,0.1942,0.1566,0.5000,1059.8,5266.0,100.0
24,0.2276,2449,2.9163,0.7826,0.2397,0.7666,0.8910,0.8669,0.6716,0.7847,0.7107,0.6687,0.7944,0.7335,0.8536,0.8392,0.7462,0.7137,0.9154,0.5179,0.4566,0.7620,0.6139,0.4474,0.3297,0.1084,0.3208,0.2481,0.2931,0.3525,0.2086,0.1667,0.4000,1059.8,5266.0,100.0
25,0.2123,2449,2.9489,0.7801,0.2500,0.7667,0.9039,0.8701,0.6668,0.7737,0.6794,0.6816,0.7795,0.7146,0.8842,0.8497,0.7533,0.7011,0.8965,0.5192,0.3931,0.7165,0.5584,0.3243,0.2928,0.1566,0.2667,0.1955,0.4052,0.4029,0.2662,0.1717,0.5000,1059.8,5266.0,100.0
