Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice CORONARY,Val Mean Dice,Val HD95 CORONARY,Val Mean HD95,Val clDice CORONARY,Val Mean clDice,Val Sensitivity CORONARY,Val Specificity CORONARY,Val Precision CORONARY,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.3122,700,0.3143,0.3748,0.3748,158.33,158.33,0.2460,0.2460,,,,5880.7,11713.0,100.0
2,0.2424,700,0.2825,0.4376,0.4376,138.36,138.36,0.3678,0.3678,,,,1782.1,11713.0,100.0
