FL Round,Epoch,Train Loss,Val Loss,Val Macro AUC,Val Accuracy,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
0,1,0.3579,0.3590,0.5249,0.9543,16769.09,13155.00,100.00
0,1,0.3579,0.3590,0.5273,0.9543,16769.52,13155.00,100.00
