FL Round,Epoch,Train Loss,Val Loss,Val Macro AUC,Val Accuracy,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
0,1,0.3579,0.3590,0.5137,0.9543,16716.02,13155.00,100.00
1,1,0.3577,0.3590,0.5121,0.9543,18746.56,13155.00,100.00
