FL Round,Epoch,Train Loss,Val Loss,Val Macro AUC,Val Accuracy,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
0,1,0.3578,0.3590,0.5075,0.9543,16723.24,13155.00,100.00
1,1,0.3577,0.3590,0.5152,0.9543,18270.01,13155.00,100.00
