Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
49,0.1214,989,0.1182,0.9068,0.9085,0.8549,0.8901,,,,,,,,,,,,,,1356.5,26387.0,100.0
50,0.1227,989,0.1212,0.9139,0.9053,0.8459,0.8884,,,,,,,,,,,,,,1356.5,26387.0,100.0
51,0.1200,989,0.1137,0.9221,0.9135,0.8570,0.8975,,,,,,,,,,,,,,1356.5,26387.0,100.0
52,0.1204,989,0.1226,0.9131,0.9001,0.8540,0.8891,,,,,,,,,,,,,,1356.5,26387.0,100.0
53,0.1206,989,0.1310,0.9087,0.8856,0.8415,0.8786,,,,,,,,,,,,,,1356.5,26387.0,100.0
54,0.1219,989,0.1318,0.9090,0.8978,0.8463,0.8844,,,,,,,,,,,,,,1356.5,26387.0,100.0
55,0.1184,989,0.1211,0.9133,0.9054,0.8513,0.8900,,,,,,,,,,,,,,1356.5,26387.0,100.0
56,0.1188,989,0.1313,0.9141,0.9019,0.8503,0.8888,,,,,,,,,,,,,,1356.5,26387.0,100.0
57,0.1191,989,0.1302,0.9156,0.8943,0.8392,0.8830,,,,,,,,,,,,,,1356.5,26387.0,100.0
58,0.1203,989,0.1266,0.9131,0.9020,0.8502,0.8884,,,,,,,,,,,,,,1356.5,26387.0,100.0
59,0.1184,989,0.1259,0.9052,0.9099,0.8563,0.8905,,,,,,,,,,,,,,1356.5,26387.0,100.0
60,0.1194,989,0.1287,0.9035,0.9031,0.8464,0.8843,,,,,,,,,,,,,,1356.5,26387.0,100.0
61,0.1176,989,0.1395,0.9092,0.8845,0.8389,0.8775,,,,,,,,,,,,,,1356.5,26387.0,100.0
62,0.1175,989,0.1253,0.9120,0.9070,0.8506,0.8899,,,,,,,,,,,,,,1356.5,26387.0,100.0
63,0.1159,989,0.1395,0.9106,0.8904,0.8433,0.8814,,,,,,,,,,,,,,1356.5,26387.0,100.0
64,0.1185,989,0.1326,0.9118,0.8926,0.8532,0.8859,,,,,,,,,,,,,,1356.5,26387.0,100.0
65,0.1177,989,0.1308,0.9149,0.8986,0.8492,0.8876,,,,,,,,,,,,,,1356.5,26387.0,100.0
66,0.1167,989,0.1265,0.9142,0.9023,0.8481,0.8882,,,,,,,,,,,,,,1356.5,26387.0,100.0
67,0.1167,989,0.1331,0.9060,0.8925,0.8498,0.8828,,,,,,,,,,,,,,1356.5,26387.0,100.0
68,0.1157,989,0.1384,0.9075,0.8799,0.8480,0.8785,,,,,,,,,,,,,,1356.5,26387.0,100.0
69,0.1137,989,0.1296,0.9117,0.8912,0.8467,0.8832,,,,,,,,,,,,,,1356.5,26387.0,100.0
70,0.1143,989,0.1198,0.9188,0.9058,0.8528,0.8925,,,,,,,,,,,,,,1356.5,26387.0,100.0
71,0.1153,989,0.1277,0.9130,0.8955,0.8505,0.8864,,,,,,,,,,,,,,1356.5,26387.0,100.0
72,0.1147,989,0.1278,0.9117,0.8959,0.8495,0.8857,,,,,,,,,,,,,,1356.5,26387.0,100.0
73,0.1149,989,0.1208,0.9125,0.9037,0.8520,0.8894,,,,,,,,,,,,,,1356.4,26387.0,100.0
74,0.1148,989,0.1278,0.9130,0.8948,0.8520,0.8866,,,,,,,,,,,,,,1356.5,26387.0,100.0
75,0.1160,989,0.1263,0.9126,0.8969,0.8547,0.8881,,,,,,,,,,,,,,1356.5,26387.0,100.0
76,0.1145,989,0.1249,0.9089,0.8970,0.8568,0.8876,,,,,,,,,,,,,,1356.5,26387.0,100.0
77,0.1126,989,0.1318,0.9070,0.8890,0.8507,0.8823,,,,,,,,,,,,,,1356.5,26387.0,100.0
78,0.1143,989,0.1308,0.9101,0.8927,0.8516,0.8848,,,,,,,,,,,,,,1356.5,26387.0,100.0
79,0.1131,989,0.1263,0.9128,0.8968,0.8537,0.8878,,,,,,,,,,,,,,1356.5,26387.0,100.0
80,0.1127,989,0.1336,0.9080,0.8861,0.8465,0.8802,,,,,,,,,,,,,,1356.5,26387.0,100.0
