Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8299,37,,,,,,,,,,,,,,,,,,
1_val,,,0.5257,0.7709,0.6793,0.6744,0.7082,48.36,46.98,44.78,46.71,0.8941,0.9008,0.9072,0.9824,0.9862,0.9877,0.6949,0.6051,0.5816
2,0.3686,37,,,,,,,,,,,,,,,,,,
2_val,,,0.3620,0.8979,0.8195,0.8523,0.8565,10.23,8.79,3.59,7.54,0.8365,0.8433,0.8063,0.9993,0.9974,0.9992,0.9745,0.8229,0.9111
3,0.3201,37,,,,,,,,,,,,,,,,,,
3_val,,,0.3468,0.8868,0.8027,0.8280,0.8392,4.21,7.79,4.15,5.38,0.8124,0.7892,0.7418,0.9996,0.9980,0.9996,0.9829,0.8396,0.9514
4,0.3062,37,,,,,,,,,,,,,,,,,,
4_val,,,0.3169,0.9065,0.8161,0.8456,0.8561,3.59,7.81,3.75,5.05,0.8533,0.8320,0.7841,0.9993,0.9976,0.9994,0.9726,0.8255,0.9278
5,0.3065,37,,,,,,,,,,,,,,,,,,
5_val,,,0.2923,0.9078,0.8409,0.8458,0.8648,3.52,6.59,4.13,4.75,0.8621,0.8061,0.7686,0.9991,0.9988,0.9996,0.9640,0.8917,0.9515
6,0.2983,37,,,,,,,,,,,,,,,,,,
6_val,,,0.2661,0.9191,0.8555,0.8646,0.8797,3.14,6.42,3.57,4.38,0.8970,0.8662,0.8065,0.9985,0.9982,0.9995,0.9463,0.8591,0.9401
7,0.2752,37,,,,,,,,,,,,,,,,,,
7_val,,,0.2594,0.9145,0.8433,0.8596,0.8724,3.31,6.76,3.63,4.57,0.8690,0.8565,0.8010,0.9992,0.9980,0.9995,0.9706,0.8467,0.9367
