Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.1590,4,,,,,,,,,,,,,,3371.8,7824.0,53.0
1_val,,,0.1684,0.2869,0.1885,0.6667,0.7679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8967,0.3417,,,
2,0.0825,4,,,,,,,,,,,,,,3806.9,13040.0,77.0
2_val,,,0.0869,0.7000,0.5073,0.7500,0.7500,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8765,0.4360,,,
3,0.0430,4,,,,,,,,,,,,,,4486.1,13048.0,92.0
3_val,,,0.0549,0.4702,0.2672,0.5833,0.7679,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9044,0.3543,,,
4,0.0533,4,,,,,,,,,,,,,,4377.4,13060.0,27.0
4_val,,,0.0268,0.6940,0.5679,0.9167,0.5536,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9344,0.3214,,,
5,0.0548,4,,,,,,,,,,,,,,4714.1,13060.0,94.0
5_val,,,0.0390,0.9048,0.7828,0.9167,0.6071,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.9333,0.3936,,,
