Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,1.4804,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256.5,10838.0,96.0
1_val,,,1.3011,0.6295,0.0829,0.6356,0.6244,0.7278,0.5258,0.4026,0.5100,0.7144,0.6278,0.7031,0.8407,0.5328,0.6068,0.5119,0.8499,0.9333,0.6970,0.4975,0.1520,0.0000,0.4409,0.5000,0.9804,0.8730,0.3529,0.9310,0.0000,0.9737,1.0000,,,
2,1.3818,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3715.4,11222.0,96.0
2_val,,,1.1968,0.6693,0.1070,0.6968,0.6647,0.7644,0.5991,0.5109,0.4822,0.7085,0.6687,0.8088,0.8400,0.7054,0.6322,0.5591,0.7295,0.7222,0.3636,0.7437,0.4865,0.6667,0.1290,1.0000,0.8824,0.8095,0.7647,0.9310,0.9655,0.5263,1.0000,,,
3,1.3080,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.1,11214.0,96.0
3_val,,,1.1642,0.7025,0.1261,0.7120,0.6691,0.7999,0.6025,0.6559,0.5336,0.7155,0.7235,0.8243,0.8612,0.6882,0.6992,0.6195,0.7305,0.7000,0.6970,0.7789,0.5000,0.4828,0.7527,0.7143,0.8627,0.7619,0.8529,0.5172,0.5862,0.5000,1.0000,,,
4,1.2604,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4998.7,11222.0,95.0
4_val,,,1.0949,0.7321,0.1283,0.7267,0.6811,0.8287,0.6245,0.6287,0.5844,0.7518,0.7422,0.8228,0.8658,0.7418,0.7088,0.6657,0.8759,0.6167,0.6061,0.8392,0.4459,0.3563,0.4409,0.9286,0.7451,0.7460,0.8824,0.6897,0.6552,0.5263,1.0000,,,
5,1.2211,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783.2,11222.0,95.0
5_val,,,1.0986,0.7480,0.1426,0.7374,0.6942,0.8379,0.6268,0.6513,0.6259,0.7495,0.7539,0.8224,0.8691,0.7466,0.7552,0.6615,0.9403,0.5833,0.3333,0.7236,0.5338,0.4368,0.5484,0.7143,0.6667,0.6825,0.7353,0.6552,0.5172,0.4737,1.0000,,,
