Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.9153,6,,,,,,,,,,,,,,,,,,
1_val,,,0.7423,0.4090,0.4021,0.3302,0.3804,53.04,58.66,58.59,56.76,0.9999,0.9998,0.9997,0.9673,0.9779,0.9772,0.2571,0.2517,0.1978
2,0.3775,6,,,,,,,,,,,,,,,,,,
2_val,,,0.5089,0.8048,0.7568,0.7266,0.7628,16.07,10.68,7.28,11.34,0.9994,0.9981,0.9986,0.9945,0.9952,0.9958,0.6736,0.6095,0.5711
3,0.3188,6,,,,,,,,,,,,,,,,,,
3_val,,,0.4450,0.8431,0.8076,0.7702,0.8070,6.56,8.60,4.24,6.47,0.9983,0.9973,0.9982,0.9958,0.9965,0.9967,0.7296,0.6786,0.6270
4,0.2916,6,,,,,,,,,,,,,,,,,,
4_val,,,0.4394,0.8088,0.7804,0.7444,0.7779,9.49,9.70,5.48,8.22,0.9993,0.9977,0.9985,0.9947,0.9958,0.9962,0.6793,0.6409,0.5934
5,0.2839,6,,,,,,,,,,,,,,,,,,
5_val,,,0.4001,0.7858,0.8217,0.7612,0.7896,13.49,10.76,5.83,10.03,0.9995,0.9969,0.9982,0.9938,0.9968,0.9965,0.6475,0.6989,0.6151
6,0.2636,6,,,,,,,,,,,,,,,,,,
6_val,,,0.4018,0.7464,0.7764,0.7477,0.7568,16.73,10.95,6.16,11.28,0.9997,0.9980,0.9983,0.9923,0.9957,0.9962,0.5955,0.6353,0.5976
7,0.2628,6,,,,,,,,,,,,,,,,,,
7_val,,,0.3727,0.7980,0.7840,0.7487,0.7769,8.83,9.21,4.69,7.58,0.9994,0.9982,0.9985,0.9943,0.9959,0.9962,0.6641,0.6455,0.5989
8,0.2555,6,,,,,,,,,,,,,,,,,,
8_val,,,0.3409,0.8287,0.8301,0.7598,0.8062,5.74,7.62,4.12,5.83,0.9992,0.9973,0.9984,0.9953,0.9970,0.9965,0.7078,0.7110,0.6132
9,0.2471,6,,,,,,,,,,,,,,,,,,
9_val,,,0.3288,0.7956,0.8326,0.7826,0.8036,10.05,5.20,3.46,6.24,0.9985,0.9976,0.9981,0.9942,0.9970,0.9969,0.6612,0.7144,0.6436
10,0.2390,6,,,,,,,,,,,,,,,,,,
10_val,,,0.3289,0.8236,0.7778,0.7761,0.7925,5.66,8.12,3.74,5.84,0.9985,0.9985,0.9981,0.9952,0.9958,0.9968,0.7008,0.6371,0.6350
11,0.2477,6,,,,,,,,,,,,,,,,,,
11_val,,,0.3090,0.8208,0.8096,0.7684,0.7996,6.48,7.35,4.00,5.94,0.9990,0.9980,0.9981,0.9951,0.9965,0.9966,0.6966,0.6809,0.6247
12,0.2515,6,,,,,,,,,,,,,,,,,,
12_val,,,0.4654,0.5200,0.5801,0.6327,0.5776,29.14,14.32,10.05,17.84,1.0000,1.0000,0.9998,0.9791,0.9892,0.9935,0.3513,0.4085,0.4628
13,0.2848,6,,,,,,,,,,,,,,,,,,
