Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8604,27,,,,,,,,,,,,,,,,,,
1_val,,,0.5722,0.7547,0.6885,0.6625,0.7019,50.26,42.18,42.77,45.07,0.9745,0.9749,0.9671,0.9866,0.9917,0.9925,0.6551,0.5575,0.5225
2,0.3210,27,,,,,,,,,,,,,,,,,,
2_val,,,0.4052,0.9178,0.8262,0.8457,0.8632,2.93,7.55,2.36,4.28,0.8876,0.9312,0.8881,0.9992,0.9973,0.9983,0.9503,0.7563,0.8079
3,0.2907,27,,,,,,,,,,,,,,,,,,
3_val,,,0.3632,0.9130,0.8402,0.8494,0.8676,2.71,6.61,2.13,3.82,0.8683,0.9078,0.8556,0.9994,0.9980,0.9988,0.9627,0.7967,0.8445
4,0.2626,27,,,,,,,,,,,,,,,,,,
4_val,,,0.3405,0.9209,0.8302,0.8595,0.8702,2.59,6.99,2.20,3.93,0.8957,0.9245,0.9062,0.9991,0.9975,0.9984,0.9476,0.7685,0.8190
5,0.2663,27,,,,,,,,,,,,,,,,,,
5_val,,,0.3029,0.9279,0.8649,0.8691,0.8873,2.49,5.66,1.91,3.35,0.9204,0.9251,0.9075,0.9987,0.9983,0.9985,0.9358,0.8228,0.8349
6,0.2362,27,,,,,,,,,,,,,,,,,,
6_val,,,0.2959,0.9248,0.8375,0.8587,0.8737,2.81,6.55,1.99,3.78,0.9352,0.9404,0.9037,0.9981,0.9975,0.9984,0.9151,0.7679,0.8190
7,0.2135,27,,,,,,,,,,,,,,,,,,
7_val,,,0.2799,0.9263,0.8355,0.8623,0.8747,2.41,6.58,2.02,3.67,0.9098,0.9344,0.9158,0.9989,0.9975,0.9983,0.9436,0.7688,0.8162
8,0.2142,27,,,,,,,,,,,,,,,,,,
