Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
2,1.3399,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4077.2,9686.0,96.0
2_val,,,1.1570,0.7210,0.1305,0.7175,0.6564,0.8264,0.6327,0.6709,0.5363,0.7258,0.7286,0.8289,0.8726,0.6959,0.6693,0.6838,0.8489,0.6278,0.7879,0.7588,0.4628,0.7011,0.6022,0.4286,0.6863,0.7937,0.8529,0.6552,0.8966,0.3158,1.0000,,,
