Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8849,28,,,,,,,,,,,,,,,,,,
1_val,,,0.7407,0.7235,0.5300,0.0225,0.4253,44.10,47.86,71.09,54.35,0.8961,0.6622,0.9437,0.9855,0.9869,0.9836,0.6140,0.4503,0.0115
2,0.5688,28,,,,,,,,,,,,,,,,,,
2_val,,,0.6472,0.8776,0.7078,0.2389,0.6081,3.70,9.56,25.77,13.01,0.8206,0.6273,0.9216,0.9989,0.9981,0.9985,0.9499,0.8502,0.1535
3,0.4957,28,,,,,,,,,,,,,,,,,,
3_val,,,0.6273,0.8682,0.7023,0.3346,0.6350,4.56,9.91,24.68,13.05,0.7955,0.6002,0.8871,0.9993,0.9987,0.9992,0.9631,0.8843,0.2473
4,0.4871,28,,,,,,,,,,,,,,,,,,
4_val,,,0.6046,0.8830,0.7182,0.2768,0.6260,4.00,9.08,25.26,12.78,0.8325,0.6331,0.9014,0.9989,0.9983,0.9988,0.9474,0.8667,0.1897
5,0.4914,28,,,,,,,,,,,,,,,,,,
5_val,,,0.6060,0.8878,0.6479,0.3212,0.6190,3.74,11.13,26.50,13.79,0.8464,0.5371,0.8942,0.9987,0.9986,0.9991,0.9414,0.8709,0.2366
6,0.4619,28,,,,,,,,,,,,,,,,,,
6_val,,,0.5749,0.8925,0.6924,0.2987,0.6279,3.41,10.20,25.79,13.13,0.8727,0.6002,0.9100,0.9981,0.9983,0.9989,0.9206,0.8616,0.2108
7,0.4607,28,,,,,,,,,,,,,,,,,,
7_val,,,0.5572,0.8839,0.7118,0.2944,0.6300,4.13,9.23,24.87,12.74,0.8330,0.6172,0.8997,0.9989,0.9985,0.9989,0.9493,0.8763,0.2062
8,0.4806,28,,,,,,,,,,,,,,,,,,
8_val,,,0.5712,0.8736,0.6590,0.2982,0.6103,5.27,10.79,24.69,13.58,0.8062,0.5386,0.8883,0.9992,0.9989,0.9990,0.9614,0.8928,0.2128
9,0.4542,28,,,,,,,,,,,,,,,,,,
9_val,,,0.5660,0.8738,0.6474,0.3521,0.6244,5.49,11.50,28.73,15.24,0.8194,0.5254,0.8692,0.9988,0.9989,0.9993,0.9470,0.8919,0.2705
10,0.4429,28,,,,,,,,,,,,,,,,,,
10_val,,,0.5203,0.8814,0.7477,0.3449,0.6580,4.74,8.05,24.50,12.43,0.8229,0.6697,0.8743,0.9991,0.9984,0.9992,0.9564,0.8764,0.2602
11,0.4433,28,,,,,,,,,,,,,,,,,,
