Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8896,9,,,,,,,,,,,,,,,,,,
1_val,,,0.8527,0.3720,0.5186,0.4694,0.4533,87.51,96.95,98.07,94.18,0.9977,1.0000,1.0000,0.9849,0.9955,0.9959,0.2287,0.3500,0.3067
2,0.3433,9,,,,,,,,,,,,,,,,,,
2_val,,,0.7083,0.8025,0.7487,0.8582,0.8031,62.90,7.00,1.41,23.77,0.9775,0.9981,0.9977,0.9979,0.9984,0.9994,0.6807,0.5990,0.7529
3,0.2706,9,,,,,,,,,,,,,,,,,,
3_val,,,0.6549,0.8600,0.7743,0.8973,0.8439,55.75,6.40,1.00,21.05,0.9639,0.9964,0.9922,0.9988,0.9986,0.9996,0.7763,0.6332,0.8190
4,0.2553,9,,,,,,,,,,,,,,,,,,
4_val,,,0.6380,0.8455,0.7373,0.8585,0.8138,52.25,7.00,1.00,20.08,0.9731,0.9970,0.9960,0.9985,0.9983,0.9994,0.7475,0.5849,0.7544
5,0.2445,9,,,,,,,,,,,,,,,,,,
5_val,,,0.5876,0.8443,0.8192,0.8890,0.8508,56.52,5.39,1.00,20.97,0.9798,0.9977,0.9952,0.9985,0.9989,0.9996,0.7416,0.6948,0.8033
6,0.2302,9,,,,,,,,,,,,,,,,,,
6_val,,,0.5728,0.8036,0.7669,0.8816,0.8174,59.92,4.49,1.00,21.80,0.9824,0.9981,0.9958,0.9979,0.9985,0.9995,0.6798,0.6227,0.7908
7,0.2257,9,,,,,,,,,,,,,,,,,,
7_val,,,0.5408,0.8757,0.7674,0.8645,0.8359,46.10,4.58,1.00,17.23,0.9736,0.9979,0.9963,0.9989,0.9985,0.9994,0.7957,0.6234,0.7635
8,0.2202,9,,,,,,,,,,,,,,,,,,
8_val,,,0.5064,0.8955,0.8383,0.8545,0.8627,4.24,3.00,1.00,2.75,0.9671,0.9961,0.9949,0.9991,0.9991,0.9994,0.8337,0.7236,0.7488
9,0.2165,9,,,,,,,,,,,,,,,,,,
