Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.0719,7,,,,,,,,,,,,,,2414.5,8800.0,53.0
1_val,,,0.1361,0.2617,0.1328,0.3636,0.3857,0.0000,0.0000,0.0357,0.0000,0.0000,0.0000,0.6200,0.0952,,,
2,0.0405,7,,,,,,,,,,,,,,3619.3,13060.0,93.0
2_val,,,0.1294,0.2553,0.1097,0.0303,0.6286,0.0000,0.0000,0.1071,0.0000,0.0000,0.0000,0.6724,0.1164,,,
3,0.0438,7,,,,,,,,,,,,,,4533.7,13076.0,94.0
3_val,,,0.1170,0.3363,0.1308,0.0303,0.8000,0.0000,0.0000,0.1786,0.0000,0.0000,0.0000,0.7016,0.1687,,,
4,0.0431,7,,,,,,,,,,,,,,5144.5,13060.0,0.0
4_val,,,0.0941,0.3653,0.1516,0.3030,0.6857,0.0000,0.0000,0.1071,0.0000,0.0000,0.0000,0.7336,0.1916,,,
5,0.0334,7,,,,,,,,,,,,,,5186.0,13076.0,94.0
5_val,,,0.1119,0.3552,0.1506,0.2727,0.6857,0.0000,0.0000,0.1071,0.0000,0.0000,0.0000,0.7077,0.1995,,,
