Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,1.5253,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2928.8,7302.0,88.0
1_val,,,1.2715,0.5206,0.0758,0.6290,0.5643,0.7605,0.5317,0.3754,0.5486,0.5131,0.5394,0.5664,0.7791,0.4307,0.6733,0.3765,0.0000,0.9351,0.5484,0.3867,0.1747,0.0000,0.4066,0.1875,1.0000,0.7250,0.3333,0.9375,0.0000,0.9062,0.0000,,,
2,1.3980,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3615.3,11214.0,95.0
2_val,,,1.1692,0.5875,0.1016,0.7109,0.7040,0.7875,0.5643,0.4409,0.5647,0.5841,0.6104,0.6363,0.7846,0.5713,0.6582,0.6072,0.0000,0.7273,0.5484,0.7514,0.4498,0.6500,0.2088,0.6250,0.8286,0.4750,0.6667,0.8750,0.9706,0.5312,0.0000,,,
3,1.3121,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3963.6,11222.0,96.0
3_val,,,1.1564,0.6197,0.1082,0.7273,0.6656,0.8149,0.5889,0.5981,0.5749,0.5786,0.6755,0.6839,0.7925,0.6066,0.7303,0.6392,0.0000,0.7468,0.8387,0.7735,0.4672,0.3750,0.7802,0.3750,0.8857,0.4000,0.7143,0.2500,0.5588,0.5000,0.0000,,,
4,1.2432,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003.2,11214.0,60.0
4_val,,,1.0768,0.6431,0.1178,0.7511,0.6880,0.8405,0.6173,0.6594,0.6224,0.5987,0.7171,0.6817,0.8043,0.5902,0.7655,0.6667,0.0000,0.7013,0.7097,0.8508,0.4323,0.5000,0.5165,0.5000,0.7143,0.4250,0.6667,0.3125,0.9118,0.5000,0.0000,,,
5,1.2488,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4728.8,11214.0,95.0
5_val,,,1.0916,0.6575,0.1269,0.7703,0.7089,0.8503,0.6327,0.6796,0.6719,0.5974,0.7288,0.6873,0.8051,0.6355,0.7613,0.6763,0.0000,0.6688,0.3548,0.7182,0.5459,0.5250,0.6593,0.4375,0.6000,0.3500,0.6190,0.4375,0.3824,0.5000,0.0000,,,
