Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.3195,19,,,,,,,,,,,,,,2452.8,11728.0,92.0
1_val,,,0.3647,0.1687,0.1444,0.6545,0.4615,0.0000,0.0588,0.0370,0.0000,0.0000,0.1379,0.7087,0.1174,,,
2,0.2398,19,,,,,,,,,,,,,,3799.2,13060.0,93.0
2_val,,,0.2335,0.3106,0.2836,0.4909,0.5308,0.3556,0.2941,0.2099,0.5000,0.0000,0.1034,0.8116,0.2320,,,
3,0.2188,19,,,,,,,,,,,,,,4273.0,13040.0,92.0
3_val,,,0.2934,0.3341,0.3286,0.3636,0.7231,0.2667,0.3529,0.4321,0.5000,0.0000,0.0345,0.8213,0.3008,,,
4,0.1891,19,,,,,,,,,,,,,,4070.8,13088.0,95.0
4_val,,,0.2566,0.3397,0.3340,0.6545,0.5846,0.3778,0.2353,0.2963,0.5000,0.0000,0.0690,0.8399,0.2933,,,
5,0.1722,19,,,,,,,,,,,,,,4266.3,13068.0,94.0
5_val,,,0.2411,0.3650,0.3362,0.6364,0.5538,0.6444,0.3529,0.1975,0.5000,0.0000,0.0345,0.8435,0.3030,,,
