Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,1.4347,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.2,9070.0,96.0
1_val,,,1.2875,0.5948,0.0745,0.6525,0.6404,0.7258,0.5216,0.4330,0.5334,0.5718,0.6401,0.6439,0.8252,0.4731,0.6673,0.3889,0.6106,0.9390,0.7188,0.3503,0.1474,0.0000,0.3936,0.4444,1.0000,0.7833,0.2632,1.0000,0.0000,0.9697,1.0000,,,
2,1.3423,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552.9,11222.0,96.0
2_val,,,1.1968,0.6981,0.1116,0.7045,0.7113,0.7351,0.6237,0.5859,0.5583,0.6810,0.6770,0.7101,0.8460,0.6663,0.7032,0.7020,0.8689,0.7683,0.5625,0.6441,0.5193,0.7463,0.1915,0.7222,0.8947,0.6167,0.7895,0.7692,0.8966,0.6364,1.0000,,,
3,1.2939,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.6,11214.0,91.0
3_val,,,1.1550,0.7112,0.1235,0.7070,0.7088,0.7770,0.6315,0.6693,0.6176,0.6968,0.7286,0.7368,0.8396,0.6836,0.7285,0.7688,0.6633,0.6890,0.6562,0.7175,0.5228,0.5224,0.8298,0.6111,0.8158,0.5167,0.7895,0.5385,0.5862,0.6667,1.0000,,,
4,1.2546,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4703.5,11222.0,95.0
4_val,,,1.1116,0.7462,0.1312,0.7266,0.7591,0.8153,0.6551,0.6930,0.6846,0.7224,0.7003,0.7440,0.8597,0.7062,0.7323,0.8218,0.8268,0.6707,0.7188,0.7910,0.4632,0.4776,0.6383,0.7222,0.6053,0.5000,0.7368,0.5385,0.7586,0.6667,0.7500,,,
5,1.2344,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4612.2,11222.0,95.0
5_val,,,1.0884,0.7600,0.1423,0.7418,0.7507,0.8368,0.6621,0.6929,0.6905,0.7256,0.7177,0.7460,0.8532,0.7448,0.7601,0.8200,0.8987,0.6037,0.5000,0.6667,0.5825,0.5821,0.7128,0.6667,0.5526,0.4833,0.6316,0.5385,0.5172,0.6364,1.0000,,,
