Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.2448,100,,,,,,,,,,,,,,2224.4,12684.0,94.0
1_val,,,0.2300,0.3062,0.1920,0.5570,0.5022,0.0401,0.0248,0.2162,0.0000,0.8824,0.2273,0.7391,0.1976,,,
2,0.1670,100,,,,,,,,,,,,,,3723.5,13060.0,93.0
2_val,,,0.1401,0.4862,0.3480,0.5175,0.6374,0.3942,0.5537,0.2432,0.5263,0.9412,0.0758,0.8451,0.3768,,,
3,0.1275,100,,,,,,,,,,,,,,4961.6,13040.0,92.0
3_val,,,0.1340,0.5133,0.3954,0.4956,0.7147,0.2895,0.6942,0.4108,0.5263,0.8235,0.1515,0.8703,0.4026,,,
4,0.1167,100,,,,,,,,,,,,,,4601.5,13080.0,93.0
4_val,,,0.1220,0.5505,0.4161,0.6886,0.5988,0.3853,0.5455,0.3459,0.7895,0.8235,0.2273,0.8826,0.4212,,,
5,0.0925,100,,,,,,,,,,,,,,4828.6,13060.0,93.0
5_val,,,0.1051,0.5678,0.4696,0.6382,0.6523,0.6637,0.4545,0.2919,0.7895,0.7647,0.2879,0.8985,0.4874,,,
