Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.9397,8,,,,,,,,,,,,,,,,,,
1_val,,,0.6767,0.8511,0.5727,0.0000,0.4746,36.08,46.11,0.00,27.39,0.9617,0.9331,1.0000,0.9876,0.9786,0.9804,0.7633,0.4132,0.0000
2,0.6836,8,,,,,,,,,,,,,,,,,,
2_val,,,0.5877,0.9327,0.7895,0.0000,0.5741,3.00,9.06,0.00,4.02,0.8950,0.8454,1.0000,0.9990,0.9952,0.9984,0.9738,0.7405,0.0000
3,0.6250,8,,,,,,,,,,,,,,,,,,
3_val,,,0.5687,0.9306,0.7884,0.0000,0.5730,3.00,8.06,0.00,3.69,0.8829,0.7796,1.0000,0.9994,0.9968,0.9994,0.9837,0.7975,0.0000
4,0.5652,8,,,,,,,,,,,,,,,,,,
4_val,,,0.5493,0.9453,0.7912,0.0000,0.5788,2.24,9.04,0.00,3.76,0.9171,0.8338,1.0000,0.9990,0.9956,0.9990,0.9752,0.7527,0.0000
5,0.5614,8,,,,,,,,,,,,,,,,,,
5_val,,,0.5527,0.9530,0.7409,0.0000,0.5646,2.00,7.81,0.00,3.27,0.9374,0.6859,1.0000,0.9988,0.9973,0.9992,0.9691,0.8056,0.0000
6,0.6048,8,,,,,,,,,,,,,,,,,,
6_val,,,0.5258,0.9555,0.7696,0.0000,0.5750,2.00,9.17,0.00,3.72,0.9576,0.8040,1.0000,0.9981,0.9954,0.9989,0.9534,0.7380,0.0000
7,0.5675,8,,,,,,,,,,,,,,,,,,
7_val,,,0.5092,0.9523,0.7887,0.0000,0.5803,2.00,9.06,0.00,3.69,0.9311,0.8364,1.0000,0.9990,0.9954,0.9989,0.9744,0.7462,0.0000
8,0.5644,8,,,,,,,,,,,,,,,,,,
8_val,,,0.5218,0.9509,0.7448,0.0000,0.5652,2.24,7.68,0.00,3.31,0.9231,0.7047,1.0000,0.9992,0.9970,0.9991,0.9804,0.7898,0.0000
9,0.5594,8,,,,,,,,,,,,,,,,,,
9_val,,,0.5139,0.9577,0.7471,0.0000,0.5683,1.73,7.81,0.00,3.18,0.9541,0.7078,1.0000,0.9984,0.9970,0.9993,0.9614,0.7910,0.0000
10,0.5331,8,,,,,,,,,,,,,,,,,,
10_val,,,0.4884,0.9519,0.7916,0.0000,0.5812,2.24,11.09,0.00,4.44,0.9353,0.8988,1.0000,0.9988,0.9940,0.9992,0.9691,0.7073,0.0000
11,0.5333,8,,,,,,,,,,,,,,,,,,
11_val,,,0.4875,0.9548,0.7833,0.0000,0.5794,2.00,9.85,0.00,3.95,0.9382,0.8320,1.0000,0.9989,0.9953,0.9992,0.9719,0.7399,0.0000
12,0.5447,8,,,,,,,,,,,,,,,,,,
12_val,,,0.5268,0.9014,0.6369,0.0000,0.5128,8.66,16.16,0.00,8.27,0.9911,0.9974,1.0000,0.9914,0.9817,0.9966,0.8265,0.4678,0.0000
13,0.5752,8,,,,,,,,,,,,,,,,,,
13_val,,,0.5258,0.9367,0.7136,0.0000,0.5501,2.83,15.52,0.00,6.12,0.9238,0.9907,1.0000,0.9980,0.9873,0.9990,0.9500,0.5576,0.0000
14,0.5743,8,,,,,,,,,,,,,,,,,,
14_val,,,0.5056,0.9503,0.7782,0.0000,0.5762,2.24,12.04,0.00,4.76,0.9297,0.9427,1.0000,0.9989,0.9923,0.9989,0.9719,0.6626,0.0000
15,0.5610,8,,,,,,,,,,,,,,,,,,
15_val,,,0.4910,0.9459,0.7763,0.0000,0.5741,2.45,8.37,0.00,3.61,0.9164,0.7986,1.0000,0.9991,0.9958,0.9990,0.9775,0.7553,0.0000
16,0.5599,8,,,,,,,,,,,,,,,,,,
16_val,,,0.4824,0.9368,0.7640,0.0000,0.5669,2.83,7.00,0.00,3.28,0.8904,0.7318,1.0000,0.9996,0.9970,0.9992,0.9883,0.7992,0.0000
17,0.5295,8,,,,,,,,,,,,,,,,,,
17_val,,,0.4717,0.9495,0.7767,0.0000,0.5754,2.24,7.60,0.00,3.28,0.9198,0.7747,1.0000,0.9993,0.9965,0.9991,0.9812,0.7788,0.0000
18,0.5352,8,,,,,,,,,,,,,,,,,,
18_val,,,0.4633,0.9412,0.7910,0.0000,0.5774,2.45,13.19,0.00,5.21,0.9039,0.9244,1.0000,0.9993,0.9933,0.9988,0.9817,0.6912,0.0000
19,0.5188,8,,,,,,,,,,,,,,,,,,
19_val,,,0.4682,0.9461,0.7588,0.0000,0.5683,2.24,14.90,0.00,5.71,0.9111,0.9771,1.0000,0.9994,0.9904,0.9992,0.9839,0.6202,0.0000
20,0.5143,8,,,,,,,,,,,,,,,,,,
20_val,,,0.4765,0.9540,0.7113,0.0000,0.5551,2.00,15.52,0.00,5.84,0.9411,0.9909,1.0000,0.9987,0.9872,0.9983,0.9671,0.5548,0.0000
21,0.5143,8,,,,,,,,,,,,,,,,,,
21_val,,,1.1227,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0002,0.0398,0.0159,0.0000
22,1.0876,8,,,,,,,,,,,,,,,,,,
22_val,,,0.9990,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0398,0.0159,0.0000
23,1.0248,8,,,,,,,,,,,,,,,,,,
23_val,,,0.9877,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0398,0.0159,0.0000
24,1.0138,8,,,,,,,,,,,,,,,,,,
24_val,,,0.9855,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0398,0.0159,0.0000
25,1.0083,8,,,,,,,,,,,,,,,,,,
25_val,,,0.9820,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0398,0.0159,0.0000
26,1.0041,8,,,,,,,,,,,,,,,,,,
26_val,,,0.9778,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0398,0.0159,0.0000
27,1.0003,8,,,,,,,,,,,,,,,,,,
27_val,,,0.9756,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0002,0.0398,0.0159,0.0000
28,0.9995,8,,,,,,,,,,,,,,,,,,
28_val,,,0.9736,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.0003,0.0398,0.0159,0.0000
29,0.9954,8,,,,,,,,,,,,,,,,,,
29_val,,,0.9608,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.1040,0.0398,0.0159,0.0000
30,0.9785,8,,,,,,,,,,,,,,,,,,
30_val,,,0.9588,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.1605,0.0398,0.0159,0.0000
31,0.9776,8,,,,,,,,,,,,,,,,,,
31_val,,,0.9532,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.2182,0.0398,0.0159,0.0000
32,0.9738,8,,,,,,,,,,,,,,,,,,
32_val,,,0.9531,0.0765,0.0312,0.0000,0.0359,107.01,115.97,0.00,74.33,1.0000,1.0000,1.0000,0.0000,0.0000,0.2652,0.0398,0.0159,0.0000
33,0.9720,8,,,,,,,,,,,,,,,,,,
33_val,,,0.9512,0.0765,0.0312,0.0000,0.0359,106.94,115.97,0.00,74.31,1.0000,1.0000,1.0000,0.0001,0.0000,0.3380,0.0398,0.0159,0.0000
34,0.9727,8,,,,,,,,,,,,,,,,,,
34_val,,,0.9489,0.0788,0.0312,0.0000,0.0367,100.41,115.97,0.00,72.13,1.0000,1.0000,1.0000,0.0318,0.0000,0.4536,0.0410,0.0159,0.0000
35,0.9690,8,,,,,,,,,,,,,,,,,,
35_val,,,0.9450,0.1274,0.0312,0.0000,0.0529,98.32,115.97,0.00,71.43,1.0000,1.0000,1.0000,0.4327,0.0000,0.5509,0.0680,0.0159,0.0000
36,0.9658,8,,,,,,,,,,,,,,,,,,
36_val,,,0.9356,0.2838,0.0312,0.0000,0.1050,58.69,115.97,0.00,58.22,1.0000,1.0000,1.0000,0.7910,0.0000,0.7702,0.1653,0.0159,0.0000
37,0.9594,8,,,,,,,,,,,,,,,,,,
37_val,,,0.9344,0.2984,0.0312,0.0000,0.1099,58.26,115.97,0.00,58.08,1.0000,1.0000,1.0000,0.8053,0.0000,0.7789,0.1753,0.0159,0.0000
38,0.9540,8,,,,,,,,,,,,,,,,,,
38_val,,,0.9324,0.3087,0.0312,0.0000,0.1133,58.14,115.97,0.00,58.04,1.0000,1.0000,1.0000,0.8145,0.0000,0.7836,0.1825,0.0159,0.0000
39,0.9532,8,,,,,,,,,,,,,,,,,,
39_val,,,0.9310,0.3233,0.0312,0.0000,0.1182,57.88,115.97,0.00,57.95,1.0000,1.0000,1.0000,0.8267,0.0000,0.7859,0.1928,0.0159,0.0000
40,0.9521,8,,,,,,,,,,,,,,,,,,
40_val,,,0.9298,0.3439,0.0312,0.0000,0.1250,57.63,115.97,0.00,57.87,1.0000,1.0000,1.0000,0.8420,0.0000,0.8003,0.2076,0.0159,0.0000
41,0.9522,8,,,,,,,,,,,,,,,,,,
41_val,,,0.9335,0.3555,0.0312,0.0000,0.1289,57.34,115.97,0.00,57.77,1.0000,1.0000,1.0000,0.8499,0.0000,0.7947,0.2162,0.0159,0.0000
42,0.9529,8,,,,,,,,,,,,,,,,,,
42_val,,,0.9238,0.4623,0.0312,0.0000,0.1645,56.83,115.97,0.00,57.60,0.9998,1.0000,1.0000,0.9037,0.0000,0.8406,0.3007,0.0159,0.0000
43,0.9476,8,,,,,,,,,,,,,,,,,,
43_val,,,0.9240,0.4869,0.0312,0.0000,0.1727,57.00,115.97,0.00,57.66,0.9998,1.0000,1.0000,0.9128,0.0000,0.8533,0.3218,0.0159,0.0000
44,0.9464,8,,,,,,,,,,,,,,,,,,
44_val,,,0.9230,0.5002,0.0312,0.0000,0.1772,56.80,115.97,0.00,57.59,0.9998,1.0000,1.0000,0.9173,0.0000,0.8576,0.3336,0.0159,0.0000
45,0.9472,8,,,,,,,,,,,,,,,,,,
45_val,,,0.9198,0.5112,0.0312,0.0000,0.1808,56.76,115.97,0.00,57.58,0.9998,1.0000,1.0000,0.9208,0.0000,0.8598,0.3434,0.0159,0.0000
46,0.9430,8,,,,,,,,,,,,,,,,,,
46_val,,,0.9200,0.5173,0.0312,0.0000,0.1828,56.52,115.97,0.00,57.50,0.9998,1.0000,1.0000,0.9227,0.0000,0.8637,0.3489,0.0159,0.0000
47,0.9418,8,,,,,,,,,,,,,,,,,,
47_val,,,0.9179,0.5362,0.0312,0.0000,0.1891,56.22,115.97,0.00,57.40,0.9999,1.0000,1.0000,0.9284,0.0000,0.8679,0.3663,0.0159,0.0000
48,0.9417,8,,,,,,,,,,,,,,,,,,
48_val,,,0.9177,0.5474,0.0312,0.0000,0.1929,56.09,115.97,0.00,57.35,0.9999,1.0000,1.0000,0.9315,0.0000,0.8734,0.3768,0.0159,0.0000
49,0.9404,8,,,,,,,,,,,,,,,,,,
49_val,,,0.9160,0.5593,0.0312,0.0000,0.1968,55.87,115.97,0.00,57.28,0.9999,1.0000,1.0000,0.9348,0.0000,0.8774,0.3882,0.0159,0.0000
50,0.9407,8,,,,,,,,,,,,,,,,,,
50_val,,,0.9147,0.5677,0.0312,0.0000,0.1997,55.67,115.97,0.00,57.21,0.9999,1.0000,1.0000,0.9370,0.0000,0.8783,0.3964,0.0159,0.0000
51,0.9388,8,,,,,,,,,,,,,,,,,,
51_val,,,0.9133,0.5266,0.0312,0.0000,0.1860,55.25,115.97,0.00,57.08,0.9999,1.0000,1.0000,0.9256,0.0000,0.8597,0.3574,0.0159,0.0000
52,0.9342,8,,,,,,,,,,,,,,,,,,
52_val,,,0.9124,0.5768,0.0312,0.0000,0.2027,52.90,115.97,0.00,56.29,0.9998,1.0000,1.0000,0.9392,0.0000,0.8877,0.4053,0.0159,0.0000
53,0.9342,8,,,,,,,,,,,,,,,,,,
53_val,,,0.9122,0.6006,0.0312,0.0000,0.2106,52.33,115.97,0.00,56.10,0.9998,1.0000,1.0000,0.9450,0.0000,0.8957,0.4293,0.0159,0.0000
54,0.9338,8,,,,,,,,,,,,,,,,,,
54_val,,,0.9106,0.6091,0.0312,0.0000,0.2135,52.21,115.97,0.00,56.06,0.9998,1.0000,1.0000,0.9469,0.0000,0.8967,0.4380,0.0159,0.0000
55,0.9326,8,,,,,,,,,,,,,,,,,,
55_val,,,0.9108,0.6174,0.0312,0.0000,0.2162,52.24,115.97,0.00,56.07,0.9999,1.0000,1.0000,0.9487,0.0000,0.8990,0.4466,0.0159,0.0000
56,0.9306,8,,,,,,,,,,,,,,,,,,
56_val,,,0.9089,0.6252,0.0312,0.0000,0.2188,51.84,115.97,0.00,55.94,0.9998,1.0000,1.0000,0.9504,0.0000,0.9005,0.4548,0.0159,0.0000
57,0.9287,8,,,,,,,,,,,,,,,,,,
57_val,,,0.8947,0.7034,0.0312,0.0000,0.2449,48.37,115.97,0.00,54.78,0.9964,1.0000,1.0000,0.9654,0.0000,0.9257,0.5436,0.0159,0.0000
58,0.9207,8,,,,,,,,,,,,,,,,,,
58_val,,,0.8928,0.6975,0.0312,0.0000,0.2429,47.80,115.97,0.00,54.59,0.9972,1.0000,1.0000,0.9643,0.0000,0.9293,0.5364,0.0159,0.0000
59,0.9147,8,,,,,,,,,,,,,,,,,,
59_val,,,0.8917,0.6841,0.0312,0.0000,0.2384,48.05,115.97,0.00,54.68,0.9979,1.0000,1.0000,0.9619,0.0000,0.9307,0.5204,0.0159,0.0000
60,0.9142,8,,,,,,,,,,,,,,,,,,
60_val,,,0.8744,0.7407,0.0313,0.0000,0.2573,45.63,115.71,0.00,53.78,0.9921,1.0000,1.0000,0.9716,0.0005,0.9405,0.5910,0.0159,0.0000
61,0.8974,8,,,,,,,,,,,,,,,,,,
61_val,,,0.8717,0.7407,0.0313,0.0000,0.2573,45.42,115.59,0.00,53.67,0.9937,1.0000,1.0000,0.9715,0.0008,0.9420,0.5904,0.0159,0.0000
62,0.8938,8,,,,,,,,,,,,,,,,,,
62_val,,,0.8687,0.7385,0.0313,0.0000,0.2566,44.58,115.53,0.00,53.37,0.9950,1.0000,1.0000,0.9710,0.0011,0.9431,0.5871,0.0159,0.0000
63,0.8874,8,,,,,,,,,,,,,,,,,,
63_val,,,0.8658,0.7404,0.0313,0.0000,0.2572,44.25,115.49,0.00,53.25,0.9940,1.0000,1.0000,0.9714,0.0014,0.9432,0.5899,0.0159,0.0000
64,0.8897,8,,,,,,,,,,,,,,,,,,
64_val,,,0.8625,0.7587,0.0313,0.0000,0.2633,42.40,115.53,0.00,52.64,0.9924,1.0000,1.0000,0.9742,0.0012,0.9437,0.6141,0.0159,0.0000
65,0.8834,8,,,,,,,,,,,,,,,,,,
65_val,,,0.8576,0.7658,0.0313,0.0000,0.2657,42.31,115.52,0.00,52.61,0.9927,1.0000,1.0000,0.9752,0.0012,0.9449,0.6233,0.0159,0.0000
66,0.8850,8,,,,,,,,,,,,,,,,,,
66_val,,,0.8523,0.7700,0.0313,0.0000,0.2671,42.68,115.37,0.00,52.68,0.9926,0.9999,1.0000,0.9758,0.0020,0.9478,0.6289,0.0159,0.0000
67,0.8792,8,,,,,,,,,,,,,,,,,,
67_val,,,0.8483,0.7768,0.0313,0.0000,0.2694,43.43,115.38,0.00,52.94,0.9912,0.9999,1.0000,0.9768,0.0019,0.9476,0.6386,0.0159,0.0000
68,0.8749,8,,,,,,,,,,,,,,,,,,
