Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Mean AUC ROC,Val Macro F1,Val AUC Atelectasis,Val AUC Cardiomegaly,Val AUC Effusion,Val AUC Infiltration,Val AUC Mass,Val AUC Nodule,Val AUC Pneumonia,Val AUC Pneumothorax,Val AUC Consolidation,Val AUC Edema,Val AUC Emphysema,Val AUC Fibrosis,Val AUC Pleural_Thickening,Val AUC Hernia,Val Sensitivity Atelectasis,Val Sensitivity Cardiomegaly,Val Sensitivity Effusion,Val Sensitivity Infiltration,Val Sensitivity Mass,Val Sensitivity Nodule,Val Sensitivity Pneumonia,Val Sensitivity Pneumothorax,Val Sensitivity Consolidation,Val Sensitivity Edema,Val Sensitivity Emphysema,Val Sensitivity Fibrosis,Val Sensitivity Pleural_Thickening,Val Sensitivity Hernia,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,1.3490,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.3,9954.0,96.0
1_val,,,1.4604,0.6036,0.0964,0.6338,0.5094,0.7244,0.5782,0.4932,0.5060,0.6159,0.5502,0.6203,0.7871,0.6283,0.6184,0.4099,0.7761,0.9560,0.4839,0.4658,0.2579,0.0000,0.3761,0.5625,0.9700,0.7895,0.4211,1.0000,0.0000,0.9796,1.0000,,,
2,1.2648,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016.1,11214.0,91.0
2_val,,,1.3477,0.6553,0.1316,0.6615,0.6076,0.7694,0.6547,0.5353,0.5229,0.6457,0.6376,0.6814,0.8220,0.7283,0.6581,0.6767,0.5733,0.7799,0.4194,0.7991,0.6415,0.7290,0.2650,0.7500,0.9300,0.7368,0.8158,0.9500,0.9655,0.7347,1.0000,,,
3,1.1872,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4178.3,11230.0,96.0
3_val,,,1.3363,0.6848,0.1385,0.6952,0.6099,0.7878,0.6583,0.5876,0.5737,0.6253,0.6954,0.7086,0.8010,0.7211,0.6536,0.7188,0.7509,0.7673,0.6129,0.8265,0.6384,0.4393,0.8205,0.6875,0.8800,0.5965,0.8158,0.5750,0.3793,0.5918,1.0000,,,
4,1.1721,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5124.6,11222.0,95.0
4_val,,,1.2929,0.6995,0.1468,0.7136,0.6171,0.8076,0.6768,0.6334,0.5930,0.6334,0.7189,0.7162,0.8112,0.7405,0.6868,0.7439,0.7008,0.7233,0.6129,0.8904,0.5818,0.4393,0.5897,0.7500,0.7700,0.6316,0.7368,0.6750,0.6552,0.5918,0.3333,,,
5,1.1349,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5342.7,11222.0,95.0
5_val,,,1.3179,0.6939,0.1539,0.7319,0.6312,0.8139,0.6800,0.6320,0.5978,0.6458,0.7422,0.7208,0.8184,0.7535,0.7119,0.7438,0.4906,0.6604,0.3871,0.7443,0.6824,0.4766,0.6581,0.6250,0.8000,0.5439,0.6053,0.7250,0.4138,0.5306,0.3333,,,
