Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
0_val,,,0.1531,0.2440,0.1285,0.0606,0.6000,0.0000,0.0000,0.0714,0.0000,0.0000,0.0000,0.6483,0.1473,,,
1,0.0403,17,,,,,,,,,,,,,,3092.9,6261.0,70.0
1_val,,,0.0895,0.4381,0.1543,0.0000,0.8143,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.7394,0.2732,,,
2,0.0303,17,,,,,,,,,,,,,,4239.8,7457.0,59.0
2_val,,,0.0722,0.4981,0.1947,0.1515,0.8429,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.7866,0.3497,,,
