Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.9208,10,,,,,,,,,,,,,,,,,,
1_val,,,0.9567,0.0998,0.0808,0.0006,0.0604,75.54,82.62,100.48,86.21,0.9286,0.8259,0.4080,0.9418,0.9630,0.9667,0.0527,0.0425,0.0003
2,0.6036,10,,,,,,,,,,,,,,,,,,
2_val,,,0.8728,0.3396,0.4032,0.0000,0.2476,40.72,36.81,78.73,52.09,0.9731,0.9483,0.0000,0.9869,0.9945,0.9976,0.2057,0.2560,0.0000
3_val,,,0.8443,0.3860,0.4978,0.0000,0.2946,21.77,27.17,40.37,29.77,0.9739,0.9514,0.0000,0.9893,0.9963,0.9990,0.2407,0.3371,0.0000
4,0.5298,10,,,,,,,,,,,,,,,,,,
4_val,,,0.8437,0.3419,0.4308,0.0005,0.2577,21.61,26.38,37.97,28.65,0.9775,0.9590,0.0160,0.9870,0.9950,0.9984,0.2072,0.2778,0.0003
5,0.5650,10,,,,,,,,,,,,,,,,,,
5_val,,,0.8335,0.3301,0.5169,0.0000,0.2823,20.64,27.52,39.32,29.16,0.9603,0.8985,0.0000,0.9865,0.9969,0.9988,0.1993,0.3628,0.0000
6,0.5335,10,,,,,,,,,,,,,,,,,,
6_val,,,0.8276,0.3121,0.4373,0.0000,0.2498,21.00,29.22,48.11,32.78,0.9645,0.9327,0.0000,0.9853,0.9954,0.9985,0.1862,0.2856,0.0000
7,0.5163,10,,,,,,,,,,,,,,,,,,
7_val,,,0.8006,0.3726,0.4811,0.0000,0.2845,18.25,25.57,37.34,27.05,0.9594,0.9262,0.0000,0.9889,0.9962,0.9989,0.2312,0.3249,0.0000
8,0.5146,10,,,,,,,,,,,,,,,,,,
8_val,,,0.7837,0.3952,0.5824,0.0014,0.3263,17.83,25.38,37.48,26.90,0.9563,0.8995,0.0240,0.9899,0.9976,0.9992,0.2491,0.4306,0.0007
9,0.5175,10,,,,,,,,,,,,,,,,,,
9_val,,,0.7807,0.3790,0.6621,0.0000,0.3470,16.88,24.78,38.21,26.62,0.9538,0.8018,0.0000,0.9893,0.9988,0.9996,0.2365,0.5638,0.0000
10,0.4911,10,,,,,,,,,,,,,,,,,,
10_val,,,0.7685,0.4072,0.5061,0.0000,0.3044,17.15,22.55,36.25,25.32,0.9703,0.9431,0.0000,0.9903,0.9965,0.9995,0.2577,0.3458,0.0000
11,0.4545,10,,,,,,,,,,,,,,,,,,
11_val,,,0.7520,0.3936,0.5903,0.0000,0.3280,17.23,21.18,35.06,24.49,0.9618,0.9247,0.0000,0.9898,0.9976,0.9996,0.2475,0.4335,0.0000
12,0.4994,10,,,,,,,,,,,,,,,,,,
12_val,,,0.8726,0.1979,0.1959,0.0041,0.1327,61.31,66.67,81.42,69.80,0.9936,0.9753,0.5760,0.9719,0.9841,0.9929,0.1099,0.1089,0.0021
13_val,,,0.8587,0.2606,0.2395,0.0032,0.1677,43.15,40.61,50.00,44.59,0.9981,0.9899,0.2880,0.9803,0.9875,0.9954,0.1499,0.1362,0.0016
14,0.5065,10,,,,,,,,,,,,,,,,,,
14_val,,,0.8405,0.3022,0.2933,0.0001,0.1985,23.62,31.26,45.93,33.60,0.9795,0.9511,0.0080,0.9843,0.9910,0.9971,0.1787,0.1734,0.0001
15,0.4843,10,,,,,,,,,,,,,,,,,,
15_val,,,0.7881,0.3440,0.5060,0.0000,0.2833,24.45,30.24,40.36,31.68,0.9383,0.7439,0.0000,0.9877,0.9976,0.9988,0.2106,0.3834,0.0000
16,0.4938,10,,,,,,,,,,,,,,,,,,
16_val,,,0.8518,0.3990,0.0135,0.0000,0.1375,21.19,31.06,40.87,31.04,0.9067,0.0096,0.0000,0.9908,0.9992,0.9993,0.2558,0.0223,0.0000
18,0.5150,10,,,,,,,,,,,,,,,,,,
18_val,,,0.7261,0.4636,0.4568,0.0000,0.3068,16.25,25.42,39.30,26.99,0.9480,0.4624,0.0000,0.9925,0.9989,0.9996,0.3068,0.4513,0.0000
19,0.4991,10,,,,,,,,,,,,,,,,,,
19_val,,,0.7320,0.3709,0.4898,0.0020,0.2876,19.00,24.38,38.13,27.17,0.9615,0.9320,0.0320,0.9888,0.9963,0.9992,0.2297,0.3322,0.0010
20,0.4376,10,,,,,,,,,,,,,,,,,,
20_val,,,0.7444,0.3796,0.3961,0.0204,0.2654,18.44,21.31,32.67,24.14,0.9864,0.9694,0.5680,0.9888,0.9942,0.9986,0.2350,0.2489,0.0104
21,0.4478,10,,,,,,,,,,,,,,,,,,
21_val,,,1.0115,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.83,156.27,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0035,0.0020,0.0000
22,1.0800,10,,,,,,,,,,,,,,,,,,
22_val,,,0.9990,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.77,156.25,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0035,0.0020,0.0000
23,1.0079,10,,,,,,,,,,,,,,,,,,
23_val,,,0.9991,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.83,156.27,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0035,0.0020,0.0000
24,0.9994,10,,,,,,,,,,,,,,,,,,
24_val,,,0.9995,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.89,156.29,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0035,0.0020,0.0000
25,0.9985,10,,,,,,,,,,,,,,,,,,
26,0.9931,10,,,,,,,,,,,,,,,,,,
26_val,,,0.9991,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.91,156.29,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0035,0.0020,0.0000
27_val,,,0.9990,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.87,156.28,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0035,0.0020,0.0000
28_val,,,0.9990,0.0069,0.0040,0.0001,0.0036,148.36,152.61,167.87,156.28,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0035,0.0020,0.0000
29,0.9873,10,,,,,,,,,,,,,,,,,,
29_val,,,0.9973,0.0069,0.0040,0.0001,0.0036,148.36,152.61,163.60,154.86,1.0000,1.0000,1.0000,0.0000,0.0000,0.0685,0.0035,0.0020,0.0000
30_val,,,0.9971,0.0069,0.0040,0.0001,0.0036,148.36,152.61,162.25,154.41,1.0000,1.0000,1.0000,0.0000,0.0000,0.0755,0.0035,0.0020,0.0000
31,0.9674,10,,,,,,,,,,,,,,,,,,
31_val,,,0.9962,0.0069,0.0040,0.0001,0.0036,148.36,152.61,159.81,153.59,1.0000,1.0000,1.0000,0.0000,0.0000,0.1057,0.0035,0.0020,0.0000
32,0.9686,10,,,,,,,,,,,,,,,,,,
32_val,,,0.9965,0.0069,0.0040,0.0001,0.0036,148.36,152.61,158.91,153.29,1.0000,1.0000,1.0000,0.0000,0.0000,0.1277,0.0035,0.0020,0.0000
33,0.9630,10,,,,,,,,,,,,,,,,,,
33_val,,,0.9965,0.0069,0.0040,0.0001,0.0037,148.34,152.61,157.24,152.73,1.0000,1.0000,1.0000,0.0000,0.0000,0.1561,0.0035,0.0020,0.0000
34,0.9640,10,,,,,,,,,,,,,,,,,,
34_val,,,0.9963,0.0070,0.0040,0.0001,0.0037,145.00,152.61,155.08,150.90,1.0000,1.0000,1.0000,0.0050,0.0000,0.2102,0.0035,0.0020,0.0000
35,0.9636,10,,,,,,,,,,,,,,,,,,
35_val,,,0.9959,0.0076,0.0040,0.0001,0.0039,135.90,152.61,153.74,147.42,1.0000,1.0000,1.0000,0.0909,0.0000,0.2712,0.0038,0.0020,0.0000
36,0.9582,10,,,,,,,,,,,,,,,,,,
36_val,,,0.9949,0.0227,0.0040,0.0002,0.0090,120.60,152.61,134.06,135.76,0.9992,1.0000,1.0000,0.7003,0.0000,0.7188,0.0115,0.0020,0.0001
37,0.9492,10,,,,,,,,,,,,,,,,,,
