Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8701,17,,,,,,,,,,,,,,,,,,
1_val,,,0.9360,0.1630,0.0978,0.0529,0.1046,76.70,83.58,84.46,81.58,0.9925,1.0000,1.0000,0.9610,0.9814,0.9803,0.0897,0.0530,0.0274
2,0.3324,17,,,,,,,,,,,,,,,,,,
2_val,,,0.8497,0.6353,0.3936,0.3291,0.4526,65.48,38.78,39.24,47.84,0.9272,0.9995,0.9984,0.9964,0.9973,0.9980,0.5183,0.2821,0.2081
3,0.2786,17,,,,,,,,,,,,,,,,,,
3_val,,,0.8216,0.7079,0.4365,0.4041,0.5161,40.11,36.28,36.55,37.65,0.9062,0.9972,0.9929,0.9978,0.9979,0.9987,0.6222,0.3239,0.2637
4,0.2587,17,,,,,,,,,,,,,,,,,,
4_val,,,0.8117,0.6849,0.4071,0.3544,0.4821,30.59,36.24,36.39,34.40,0.9260,0.9989,0.9977,0.9972,0.9975,0.9983,0.5851,0.2937,0.2252
5,0.2371,17,,,,,,,,,,,,,,,,,,
5_val,,,0.7820,0.6843,0.4525,0.3937,0.5101,31.01,36.29,36.71,34.67,0.9368,0.9979,0.9962,0.9971,0.9981,0.9986,0.5809,0.3390,0.2546
6,0.2309,17,,,,,,,,,,,,,,,,,,
6_val,,,0.7695,0.6679,0.4320,0.3978,0.4992,54.72,35.86,36.03,42.20,0.9398,0.9990,0.9974,0.9968,0.9979,0.9986,0.5589,0.3184,0.2568
7,0.2297,17,,,,,,,,,,,,,,,,,,
7_val,,,0.7470,0.7204,0.4420,0.3929,0.5184,10.32,34.76,34.70,26.59,0.9160,0.9978,0.9953,0.9978,0.9980,0.9986,0.6356,0.3282,0.2535
8,0.2057,17,,,,,,,,,,,,,,,,,,
8_val,,,0.7253,0.7365,0.4833,0.3930,0.5376,9.57,34.86,34.73,26.38,0.9073,0.9968,0.9962,0.9981,0.9984,0.9986,0.6616,0.3714,0.2542
9,0.2105,17,,,,,,,,,,,,,,,,,,
9_val,,,0.7047,0.7340,0.5838,0.5167,0.6115,11.79,7.35,8.08,9.07,0.9091,0.9679,0.9735,0.9981,0.9992,0.9992,0.6657,0.5043,0.3607
10,0.2229,17,,,,,,,,,,,,,,,,,,
10_val,,,0.7052,0.7429,0.4505,0.4546,0.5493,11.87,9.20,8.60,9.89,0.8991,0.9983,0.9937,0.9983,0.9981,0.9989,0.6738,0.3366,0.3002
11,0.1922,17,,,,,,,,,,,,,,,,,,
11_val,,,0.6812,0.7429,0.4898,0.4250,0.5526,11.41,7.84,8.21,9.15,0.9060,0.9981,0.9967,0.9982,0.9985,0.9988,0.6732,0.3775,0.2780
12,0.1959,17,,,,,,,,,,,,,,,,,,
12_val,,,0.8060,0.3285,0.2140,0.1860,0.2429,64.45,64.02,63.12,63.86,0.9761,1.0000,1.0000,0.9845,0.9923,0.9953,0.2039,0.1294,0.1068
13,0.2173,17,,,,,,,,,,,,,,,,,,
13_val,,,0.8277,0.3228,0.2108,0.2418,0.2585,68.42,78.74,70.86,72.67,0.9430,0.9849,0.9830,0.9858,0.9935,0.9968,0.1959,0.1255,0.1456
14,0.2450,17,,,,,,,,,,,,,,,,,,
14_val,,,0.7769,0.5346,0.3469,0.2881,0.3899,66.50,56.89,56.84,60.08,0.9281,0.9993,0.9978,0.9944,0.9965,0.9976,0.3940,0.2382,0.1765
15,0.2348,17,,,,,,,,,,,,,,,,,,
15_val,,,0.6853,0.6359,0.5471,0.4315,0.5382,65.19,35.19,36.08,45.49,0.9114,0.9874,0.9894,0.9966,0.9989,0.9988,0.5194,0.4549,0.2882
16,0.2050,17,,,,,,,,,,,,,,,,,,
16_val,,,0.6190,0.6711,0.6091,0.4715,0.5839,65.32,35.39,36.21,45.64,0.8855,0.9389,0.9644,0.9974,0.9994,0.9991,0.5810,0.5378,0.3278
17,0.1846,17,,,,,,,,,,,,,,,,,,
17_val,,,0.6005,0.6935,0.6225,0.5073,0.6078,50.50,34.74,35.46,40.23,0.9097,0.9318,0.9597,0.9974,0.9994,0.9992,0.6190,0.5458,0.3563
18,0.1913,17,,,,,,,,,,,,,,,,,,
18_val,,,0.5971,0.7309,0.5813,0.4919,0.6014,12.24,7.44,7.66,9.11,0.8522,0.9825,0.9757,0.9984,0.9992,0.9991,0.7023,0.4847,0.3391
19,0.1919,17,,,,,,,,,,,,,,,,,,
19_val,,,0.6235,0.6978,0.4569,0.4467,0.5338,44.08,10.93,8.19,21.06,0.8922,0.9968,0.9919,0.9977,0.9982,0.9989,0.6249,0.3421,0.3000
20,0.1862,17,,,,,,,,,,,,,,,,,,
20_val,,,0.6322,0.7200,0.3825,0.3523,0.4849,10.68,13.53,10.47,11.56,0.9118,0.9978,0.9944,0.9979,0.9973,0.9983,0.6416,0.2671,0.2260
21,0.1989,17,,,,,,,,,,,,,,,,,,
21_val,,,1.0085,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.25,140.42,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0038,0.0010,0.0005
22,1.0628,17,,,,,,,,,,,,,,,,,,
22_val,,,1.0003,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.18,140.40,1.0000,1.0000,1.0000,0.0000,0.0000,0.0002,0.0038,0.0010,0.0005
23,1.0153,17,,,,,,,,,,,,,,,,,,
23_val,,,0.9988,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.29,140.43,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0038,0.0010,0.0005
24,1.0058,17,,,,,,,,,,,,,,,,,,
24_val,,,0.9983,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.34,140.45,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0038,0.0010,0.0005
25,1.0011,17,,,,,,,,,,,,,,,,,,
25_val,,,0.9979,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.35,140.45,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0038,0.0010,0.0005
26,0.9966,17,,,,,,,,,,,,,,,,,,
26_val,,,0.9977,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.35,140.45,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0038,0.0010,0.0005
27,0.9935,17,,,,,,,,,,,,,,,,,,
27_val,,,0.9976,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.32,140.44,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0038,0.0010,0.0005
28,0.9911,17,,,,,,,,,,,,,,,,,,
28_val,,,0.9974,0.0076,0.0020,0.0011,0.0036,132.77,144.24,144.29,140.43,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0038,0.0010,0.0005
29,0.9888,17,,,,,,,,,,,,,,,,,,
29_val,,,0.9957,0.0076,0.0020,0.0012,0.0036,132.77,144.24,138.50,138.50,1.0000,1.0000,1.0000,0.0000,0.0000,0.0850,0.0038,0.0010,0.0006
30,0.9620,17,,,,,,,,,,,,,,,,,,
30_val,,,0.9955,0.0076,0.0020,0.0012,0.0036,132.77,144.24,137.88,138.29,1.0000,1.0000,1.0000,0.0000,0.0000,0.0944,0.0038,0.0010,0.0006
31,0.9593,17,,,,,,,,,,,,,,,,,,
31_val,,,0.9956,0.0076,0.0020,0.0012,0.0036,132.77,144.24,136.75,137.92,1.0000,1.0000,1.0000,0.0000,0.0000,0.1131,0.0038,0.0010,0.0006
32,0.9564,17,,,,,,,,,,,,,,,,,,
32_val,,,0.9952,0.0076,0.0020,0.0012,0.0036,132.77,144.24,135.57,137.53,1.0000,1.0000,1.0000,0.0000,0.0000,0.1148,0.0038,0.0010,0.0006
33,0.9544,17,,,,,,,,,,,,,,,,,,
33_val,,,0.9951,0.0076,0.0020,0.0012,0.0036,132.77,144.24,134.26,137.09,1.0000,1.0000,1.0000,0.0000,0.0000,0.1198,0.0038,0.0010,0.0006
34,0.9513,17,,,,,,,,,,,,,,,,,,
34_val,,,0.9950,0.0076,0.0020,0.0013,0.0036,131.52,144.24,132.86,136.20,1.0000,1.0000,1.0000,0.0014,0.0000,0.1460,0.0038,0.0010,0.0006
35,0.9488,17,,,,,,,,,,,,,,,,,,
35_val,,,0.9950,0.0077,0.0020,0.0014,0.0037,124.76,144.24,131.40,133.46,1.0000,1.0000,1.0000,0.0213,0.0000,0.1805,0.0039,0.0010,0.0007
36,0.9464,17,,,,,,,,,,,,,,,,,,
36_val,,,0.9940,0.0233,0.0020,0.0034,0.0096,123.69,144.24,131.91,133.28,1.0000,1.0000,1.0000,0.6657,0.0000,0.5919,0.0118,0.0010,0.0017
37,0.9310,17,,,,,,,,,,,,,,,,,,
37_val,,,0.9938,0.0241,0.0020,0.0036,0.0099,123.75,144.24,132.45,133.48,1.0000,1.0000,1.0000,0.6759,0.0000,0.6075,0.0122,0.0010,0.0018
38,0.9300,17,,,,,,,,,,,,,,,,,,
38_val,,,0.9938,0.0234,0.0020,0.0031,0.0095,123.89,144.24,131.84,133.32,1.0000,1.0000,1.0000,0.6681,0.0000,0.5348,0.0119,0.0010,0.0015
39,0.9272,17,,,,,,,,,,,,,,,,,,
39_val,,,0.9940,0.0227,0.0020,0.0031,0.0093,123.26,144.24,131.07,132.86,1.0000,1.0000,1.0000,0.6544,0.0000,0.5226,0.0115,0.0010,0.0016
40,0.9252,17,,,,,,,,,,,,,,,,,,
40_val,,,0.9937,0.0258,0.0020,0.0038,0.0105,123.30,144.24,133.07,133.53,1.0000,1.0000,1.0000,0.6913,0.0000,0.6156,0.0131,0.0010,0.0019
41,0.9282,17,,,,,,,,,,,,,,,,,,
41_val,,,0.9950,0.0304,0.0020,0.0044,0.0123,87.50,144.24,114.24,115.32,1.0000,1.0000,1.0000,0.7547,0.0000,0.7442,0.0155,0.0010,0.0022
42,0.9322,17,,,,,,,,,,,,,,,,,,
42_val,,,0.9925,0.0363,0.0020,0.0052,0.0145,100.66,144.24,108.62,117.84,1.0000,1.0000,1.0000,0.7974,0.0000,0.7880,0.0185,0.0010,0.0026
43,0.9176,17,,,,,,,,,,,,,,,,,,
43_val,,,0.9922,0.0375,0.0020,0.0054,0.0150,99.53,144.24,108.31,117.36,1.0000,1.0000,1.0000,0.8037,0.0000,0.7970,0.0191,0.0010,0.0027
44,0.9165,17,,,,,,,,,,,,,,,,,,
44_val,,,0.9922,0.0378,0.0020,0.0055,0.0151,100.20,144.24,109.42,117.95,1.0000,1.0000,1.0000,0.8051,0.0000,0.7965,0.0193,0.0010,0.0027
45,0.9143,17,,,,,,,,,,,,,,,,,,
45_val,,,0.9924,0.0376,0.0020,0.0054,0.0150,102.37,144.24,112.61,119.74,1.0000,1.0000,1.0000,0.8033,0.0000,0.7917,0.0192,0.0010,0.0027
46,0.9130,17,,,,,,,,,,,,,,,,,,
46_val,,,0.9919,0.0382,0.0020,0.0055,0.0153,100.02,144.24,109.78,118.01,1.0000,1.0000,1.0000,0.8075,0.0000,0.7993,0.0195,0.0010,0.0028
47,0.9099,17,,,,,,,,,,,,,,,,,,
47_val,,,0.9920,0.0389,0.0020,0.0056,0.0155,100.87,144.24,110.13,118.41,1.0000,1.0000,1.0000,0.8110,0.0000,0.8011,0.0199,0.0010,0.0028
48,0.9081,17,,,,,,,,,,,,,,,,,,
48_val,,,0.9919,0.0395,0.0020,0.0057,0.0157,100.98,144.24,110.76,118.66,1.0000,1.0000,1.0000,0.8139,0.0000,0.8061,0.0202,0.0010,0.0029
49,0.9075,17,,,,,,,,,,,,,,,,,,
49_val,,,0.9919,0.0389,0.0020,0.0056,0.0155,104.91,144.24,120.35,123.17,1.0000,1.0000,1.0000,0.8110,0.0000,0.8017,0.0199,0.0010,0.0028
50,0.9163,17,,,,,,,,,,,,,,,,,,
50_val,,,0.9920,0.0374,0.0020,0.0052,0.0149,113.57,144.24,128.42,128.74,1.0000,1.0000,1.0000,0.8035,0.0000,0.7887,0.0191,0.0010,0.0026
51,0.9033,17,,,,,,,,,,,,,,,,,,
51_val,,,0.9919,0.0398,0.0020,0.0056,0.0158,85.71,144.24,102.69,110.88,1.0000,1.0000,1.0000,0.8169,0.0000,0.8041,0.0203,0.0010,0.0028
52,0.9059,17,,,,,,,,,,,,,,,,,,
52_val,,,0.9915,0.0430,0.0020,0.0063,0.0171,85.84,144.24,97.66,109.25,1.0000,1.0000,1.0000,0.8315,0.0000,0.8302,0.0220,0.0010,0.0032
53,0.9003,17,,,,,,,,,,,,,,,,,,
53_val,,,0.9914,0.0444,0.0020,0.0066,0.0177,89.62,144.24,108.04,113.97,1.0000,1.0000,1.0000,0.8367,0.0000,0.8355,0.0228,0.0010,0.0033
54,0.8962,17,,,,,,,,,,,,,,,,,,
54_val,,,0.9912,0.0448,0.0020,0.0066,0.0178,86.62,144.24,100.04,110.30,1.0000,1.0000,1.0000,0.8384,0.0000,0.8357,0.0230,0.0010,0.0033
55,0.8964,17,,,,,,,,,,,,,,,,,,
55_val,,,0.9910,0.0452,0.0020,0.0067,0.0179,86.23,144.24,98.96,109.81,1.0000,1.0000,1.0000,0.8396,0.0000,0.8379,0.0231,0.0010,0.0033
56,0.8942,17,,,,,,,,,,,,,,,,,,
