Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.5614,305,,,,,,,,,,,,,,,,,,
1_val,,,0.7386,0.5339,0.3962,0.3699,0.4333,69.67,80.92,78.50,76.36,0.9168,0.9662,0.9632,0.9778,0.9845,0.9871,0.4159,0.2804,0.2489
1_val,,,0.5911,0.7725,0.6169,0.7022,0.6972,27.63,37.72,31.75,32.37,0.8227,0.8878,0.8521,0.9971,0.9957,0.9982,0.7637,0.5191,0.6314
1_val,,,0.5532,0.7831,0.6449,0.7264,0.7181,18.75,23.86,17.25,19.95,0.7977,0.8457,0.7934,0.9980,0.9968,0.9989,0.8032,0.5688,0.7041
1_val,,,0.5335,0.7824,0.6268,0.7171,0.7087,20.85,25.60,17.87,21.44,0.8298,0.8739,0.8336,0.9972,0.9961,0.9986,0.7697,0.5347,0.6635
1_val,,,0.4994,0.7849,0.6773,0.7304,0.7309,17.53,21.14,17.53,18.73,0.8321,0.8490,0.8093,0.9973,0.9975,0.9989,0.7725,0.6139,0.7025
1_val,,,0.4872,0.7693,0.6394,0.7186,0.7091,18.87,22.46,17.80,19.71,0.8460,0.8676,0.8190,0.9964,0.9964,0.9987,0.7311,0.5501,0.6723
1_val,,,0.4682,0.7825,0.6406,0.7227,0.7153,16.22,19.33,14.91,16.82,0.8205,0.8627,0.8190,0.9975,0.9965,0.9987,0.7817,0.5577,0.6821
1_val,,,0.4464,0.7893,0.6852,0.7288,0.7344,14.66,16.78,13.42,14.95,0.8052,0.8411,0.8138,0.9982,0.9977,0.9989,0.8191,0.6425,0.7077
1_val,,,0.4351,0.7776,0.6955,0.7357,0.7363,15.81,14.21,10.73,13.58,0.8124,0.8255,0.7794,0.9978,0.9980,0.9992,0.7920,0.6999,0.7940
1_val,,,0.4339,0.7863,0.6264,0.7363,0.7164,19.03,22.61,14.39,18.68,0.8279,0.8867,0.8118,0.9975,0.9960,0.9990,0.7785,0.5265,0.7105
