Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice CORONARY,Val Mean Dice,Val HD95 CORONARY,Val Mean HD95,Val clDice CORONARY,Val Mean clDice,Val Sensitivity CORONARY,Val Specificity CORONARY,Val Precision CORONARY,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.4914,140,,,,,,,,,,,2076.9,6733.0,91.0
1_val,,,0.5175,0.2383,0.2383,166.15,166.15,0.0891,0.0891,0.5196,0.9962,0.1580,,,
2,0.3333,140,,,,,,,,,,,3421.3,5775.0,100.0
2_val,,,0.4562,0.2922,0.2922,157.15,157.15,0.1451,0.1451,0.6354,0.9964,0.1940,,,
3,0.3203,140,,,,,,,,,,,3432.2,5775.0,100.0
3_val,,,0.4102,0.3461,0.3461,153.80,153.80,0.2019,0.2019,0.6436,0.9973,0.2421,,,
4,0.2950,140,,,,,,,,,,,3442.2,5775.0,100.0
4_val,,,0.3934,0.3395,0.3395,151.56,151.56,0.2101,0.2101,0.6666,0.9971,0.2324,,,
5,0.2696,140,,,,,,,,,,,3448.3,5775.0,100.0
5_val,,,0.3652,0.3904,0.3904,143.36,143.36,0.2870,0.2870,0.6943,0.9976,0.2766,,,
6_val,,,0.3470,0.4021,0.4021,150.23,150.23,0.2763,0.2763,0.6937,0.9977,0.2885,,,
7,0.2579,140,,,,,,,,,,,4022.3,5775.0,100.0
7_val,,,0.3197,0.4486,0.4486,141.49,141.49,0.3317,0.3317,0.6594,0.9984,0.3469,,,
8,0.2475,140,,,,,,,,,,,3714.9,5775.0,100.0
8_val,,,0.3146,0.4420,0.4420,136.23,136.23,0.3296,0.3296,0.6848,0.9982,0.3321,,,
