Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.9062,7,,,,,,,,,,,,,,,,,,
1_val,,,0.9165,0.1248,0.0850,0.0794,0.0964,81.60,76.87,76.97,78.48,0.9875,1.0000,1.0000,0.9542,0.9727,0.9724,0.0666,0.0444,0.0414
2,0.4269,7,,,,,,,,,,,,,,,,,,
2_val,,,0.6702,0.8293,0.5872,0.7902,0.7356,12.73,13.64,13.96,13.44,0.9776,1.0000,0.9985,0.9987,0.9982,0.9994,0.7201,0.4157,0.6537
3,0.3659,7,,,,,,,,,,,,,,,,,,
3_val,,,0.6016,0.8598,0.6328,0.8438,0.7788,4.12,5.77,3.74,4.54,0.9754,1.0000,0.9959,0.9990,0.9985,0.9996,0.7687,0.4628,0.7320
4,0.2853,7,,,,,,,,,,,,,,,,,,
4_val,,,0.5863,0.8322,0.5811,0.7947,0.7360,5.83,6.97,4.90,5.90,0.9828,1.0000,0.9989,0.9987,0.9982,0.9994,0.7216,0.4096,0.6598
5,0.2960,7,,,,,,,,,,,,,,,,,,
5_val,,,0.5286,0.8427,0.6976,0.8412,0.7938,5.83,5.00,4.12,4.98,0.9829,0.9998,0.9968,0.9988,0.9989,0.9996,0.7375,0.5357,0.7276
6,0.3063,7,,,,,,,,,,,,,,,,,,
6_val,,,0.5118,0.8226,0.6342,0.8310,0.7626,8.21,5.83,4.58,6.21,0.9830,1.0000,0.9972,0.9987,0.9985,0.9995,0.7072,0.4643,0.7122
7,0.2704,7,,,,,,,,,,,,,,,,,,
7_val,,,0.4782,0.8658,0.6498,0.8227,0.7794,3.32,5.10,3.74,4.05,0.9753,1.0000,0.9983,0.9991,0.9986,0.9995,0.7784,0.4812,0.6996
8,0.2450,7,,,,,,,,,,,,,,,,,,
8_val,,,0.4399,0.8801,0.7457,0.8258,0.8172,3.00,4.24,3.32,3.52,0.9709,0.9998,0.9985,0.9992,0.9991,0.9995,0.8049,0.5945,0.7040
9,0.2774,7,,,,,,,,,,,,,,,,,,
9_val,,,0.4006,0.8771,0.8039,0.8740,0.8516,3.00,3.74,2.24,2.99,0.9766,0.9988,0.9953,0.9992,0.9994,0.9997,0.7960,0.6726,0.7790
10,0.2639,7,,,,,,,,,,,,,,,,,,
10_val,,,0.4168,0.8773,0.6375,0.8569,0.7906,2.83,5.39,3.45,3.89,0.9700,1.0000,0.9959,0.9992,0.9986,0.9996,0.8007,0.4679,0.7519
11,0.2800,7,,,,,,,,,,,,,,,,,,
11_val,,,0.3787,0.8885,0.7074,0.8444,0.8134,2.24,4.58,3.00,3.27,0.9695,0.9998,0.9974,0.9993,0.9989,0.9996,0.8200,0.5473,0.7322
12,0.2542,7,,,,,,,,,,,,,,,,,,
12_val,,,0.6239,0.3885,0.3625,0.5037,0.4182,59.87,30.06,25.23,38.39,0.9891,1.0000,1.0000,0.9897,0.9955,0.9977,0.2417,0.2214,0.3367
13,0.3441,7,,,,,,,,,,,,,,,,,,
13_val,,,0.6276,0.5180,0.3909,0.5771,0.4953,84.13,74.42,69.70,76.08,0.9587,0.9978,0.9867,0.9942,0.9961,0.9983,0.3548,0.2431,0.4078
14,0.3718,7,,,,,,,,,,,,,,,,,,
14_val,,,0.5237,0.7492,0.5026,0.7334,0.6617,78.42,64.32,62.20,68.31,0.9842,1.0000,0.9994,0.9979,0.9975,0.9991,0.6048,0.3356,0.5793
15,0.2880,7,,,,,,,,,,,,,,,,,,
15_val,,,0.3600,0.8777,0.8216,0.8588,0.8527,58.56,3.32,2.24,21.37,0.9654,0.9992,0.9966,0.9992,0.9994,0.9996,0.8046,0.6976,0.7545
16,0.3023,7,,,,,,,,,,,,,,,,,,
16_val,,,0.2438,0.9090,0.9117,0.8994,0.9067,2.24,1.73,1.41,1.79,0.9516,0.9890,0.9895,0.9995,0.9998,0.9997,0.8701,0.8457,0.8244
17,0.2880,7,,,,,,,,,,,,,,,,,,
17_val,,,0.2310,0.9017,0.9111,0.9011,0.9046,2.24,2.24,1.41,1.96,0.9639,0.9868,0.9850,0.9994,0.9998,0.9998,0.8471,0.8461,0.8303
18,0.2888,7,,,,,,,,,,,,,,,,,,
18_val,,,0.2459,0.9160,0.8459,0.8808,0.8809,1.73,3.00,2.00,2.24,0.9427,0.9952,0.9921,0.9996,0.9995,0.9997,0.8908,0.7356,0.7920
19,0.2933,7,,,,,,,,,,,,,,,,,,
19_val,,,0.3043,0.8927,0.6441,0.8540,0.7969,2.83,7.68,3.61,4.71,0.9612,0.9994,0.9932,0.9994,0.9986,0.9996,0.8332,0.4752,0.7490
20,0.2509,7,,,,,,,,,,,,,,,,,,
20_val,,,0.3365,0.8735,0.5663,0.7860,0.7419,3.32,8.06,4.24,5.21,0.9688,1.0000,0.9994,0.9992,0.9981,0.9994,0.7952,0.3950,0.6477
21,0.2552,7,,,,,,,,,,,,,,,,,,
21_val,,,1.0086,0.0066,0.0025,0.0024,0.0038,132.88,134.60,134.63,134.04,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0033,0.0013,0.0012
22,1.1181,7,,,,,,,,,,,,,,,,,,
22_val,,,1.0007,0.0066,0.0025,0.0024,0.0038,132.88,134.60,134.55,134.01,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0033,0.0013,0.0012
23,1.0316,7,,,,,,,,,,,,,,,,,,
23_val,,,0.9998,0.0066,0.0025,0.0024,0.0038,132.88,134.60,134.61,134.03,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0033,0.0013,0.0012
24,1.0055,7,,,,,,,,,,,,,,,,,,
24_val,,,0.9996,0.0066,0.0025,0.0024,0.0038,132.88,134.60,134.62,134.03,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0033,0.0013,0.0012
25,1.0004,7,,,,,,,,,,,,,,,,,,
25_val,,,0.9993,0.0066,0.0025,0.0024,0.0038,132.88,134.60,134.63,134.04,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0033,0.0013,0.0012
26,0.9913,7,,,,,,,,,,,,,,,,,,
26_val,,,0.9991,0.0066,0.0025,0.0024,0.0038,132.88,134.60,134.62,134.03,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0033,0.0013,0.0012
