Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8933,11,,,,,,,,,,,,,,,,,,
1_val,,,0.7698,0.5008,0.6197,0.4049,0.5085,66.77,68.91,69.59,68.42,0.9991,0.9998,0.9992,0.9821,0.9934,0.9912,0.3341,0.4490,0.2539
2,0.4101,11,,,,,,,,,,,,,,,,,,
2_val,,,0.5895,0.9467,0.8667,0.6679,0.8271,2.24,2.45,3.00,2.56,0.9669,0.9990,0.9978,0.9993,0.9983,0.9970,0.9272,0.7653,0.5020
3,0.2930,11,,,,,,,,,,,,,,,,,,
3_val,,,0.5344,0.9529,0.9000,0.7028,0.8519,1.41,2.00,2.45,1.95,0.9490,0.9967,0.9961,0.9996,0.9988,0.9975,0.9568,0.8204,0.5430
4,0.2908,11,,,,,,,,,,,,,,,,,,
4_val,,,0.5190,0.9486,0.8794,0.6775,0.8351,1.41,2.24,3.00,2.22,0.9610,0.9983,0.9973,0.9994,0.9985,0.9972,0.9364,0.7858,0.5129
5,0.2603,11,,,,,,,,,,,,,,,,,,
5_val,,,0.4707,0.9381,0.8968,0.6922,0.8424,5.56,2.00,2.45,3.34,0.9742,0.9961,0.9980,0.9991,0.9988,0.9973,0.9046,0.8155,0.5299
6,0.2540,11,,,,,,,,,,,,,,,,,,
6_val,,,0.4579,0.9179,0.8724,0.6860,0.8254,10.30,2.24,2.83,5.12,0.9792,0.9990,0.9980,0.9986,0.9984,0.9973,0.8638,0.7742,0.5226
7,0.2645,11,,,,,,,,,,,,,,,,,,
7_val,,,0.4310,0.9472,0.8797,0.6816,0.8362,1.41,2.24,3.00,2.22,0.9683,0.9984,0.9976,0.9993,0.9985,0.9972,0.9271,0.7862,0.5176
8,0.2304,11,,,,,,,,,,,,,,,,,,
8_val,,,0.4041,0.9552,0.9036,0.6821,0.8470,1.41,2.00,2.83,2.08,0.9608,0.9957,0.9963,0.9995,0.9989,0.9972,0.9496,0.8271,0.5186
9,0.2413,11,,,,,,,,,,,,,,,,,,
9_val,,,0.3839,0.9395,0.8990,0.7014,0.8466,2.24,2.00,2.45,2.23,0.9803,0.9957,0.9962,0.9990,0.9988,0.9975,0.9020,0.8193,0.5412
10,0.2259,11,,,,,,,,,,,,,,,,,,
10_val,,,0.3808,0.9544,0.8739,0.7045,0.8443,1.41,2.24,2.45,2.03,0.9644,0.9986,0.9968,0.9995,0.9985,0.9975,0.9445,0.7769,0.5448
11,0.2259,11,,,,,,,,,,,,,,,,,,
11_val,,,0.3577,0.9551,0.8890,0.6880,0.8440,1.41,2.24,2.83,2.16,0.9698,0.9971,0.9954,0.9995,0.9987,0.9973,0.9408,0.8020,0.5257
12,0.2180,11,,,,,,,,,,,,,,,,,,
12_val,,,0.4885,0.6154,0.6383,0.5423,0.5986,20.62,7.07,5.66,11.11,0.9980,0.9999,0.9987,0.9888,0.9939,0.9949,0.4448,0.4688,0.3722
13,0.2844,11,,,,,,,,,,,,,,,,,,
13_val,,,0.4648,0.8905,0.7866,0.6412,0.7728,41.77,9.02,3.32,18.04,0.9816,0.9979,0.9954,0.9980,0.9971,0.9967,0.8149,0.6491,0.4729
14,0.2696,11,,,,,,,,,,,,,,,,,,
14_val,,,0.4430,0.9228,0.8300,0.6372,0.7967,3.00,3.00,3.32,3.11,0.9784,0.9993,0.9990,0.9987,0.9978,0.9966,0.8732,0.7098,0.4678
15,0.2416,11,,,,,,,,,,,,,,,,,,
15_val,,,0.3546,0.9322,0.8841,0.6693,0.8285,13.38,2.24,3.00,6.21,0.9707,0.9956,0.9957,0.9990,0.9986,0.9971,0.8967,0.7950,0.5041
16,0.2289,11,,,,,,,,,,,,,,,,,,
16_val,,,0.2918,0.9469,0.9079,0.6908,0.8486,4.69,1.73,2.83,3.08,0.9639,0.9896,0.9935,0.9994,0.9990,0.9974,0.9305,0.8387,0.5295
17,0.2120,11,,,,,,,,,,,,,,,,,,
17_val,,,0.2820,0.9370,0.9070,0.6969,0.8469,10.05,1.73,2.45,4.74,0.9699,0.9925,0.9958,0.9991,0.9989,0.9974,0.9062,0.8350,0.5360
18,0.2004,11,,,,,,,,,,,,,,,,,,
18_val,,,0.2906,0.9464,0.8860,0.6832,0.8385,2.24,2.00,3.00,2.41,0.9415,0.9967,0.9944,0.9996,0.9986,0.9973,0.9514,0.7975,0.5203
19,0.2235,11,,,,,,,,,,,,,,,,,,
19_val,,,0.2980,0.9473,0.8652,0.6919,0.8348,1.73,2.83,3.00,2.52,0.9469,0.9964,0.9932,0.9995,0.9983,0.9974,0.9477,0.7645,0.5309
20,0.2361,11,,,,,,,,,,,,,,,,,,
20_val,,,0.3074,0.9523,0.8320,0.6487,0.8110,1.41,3.16,3.32,2.63,0.9556,0.9975,0.9933,0.9995,0.9978,0.9968,0.9490,0.7136,0.4816
21,0.2415,11,,,,,,,,,,,,,,,,,,
21_val,,,1.0270,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.24,137.32,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0089,0.0054,0.0030
22,1.0870,11,,,,,,,,,,,,,,,,,,
22_val,,,1.0022,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.15,137.29,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0089,0.0054,0.0030
23,1.0160,11,,,,,,,,,,,,,,,,,,
23_val,,,1.0007,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.24,137.32,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0089,0.0054,0.0030
24,1.0061,11,,,,,,,,,,,,,,,,,,
24_val,,,1.0003,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.30,137.34,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0089,0.0054,0.0030
25,1.0004,11,,,,,,,,,,,,,,,,,,
25_val,,,0.9992,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.32,137.34,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0089,0.0054,0.0030
26,0.9961,11,,,,,,,,,,,,,,,,,,
26_val,,,0.9980,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.31,137.34,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0089,0.0054,0.0030
27,0.9933,11,,,,,,,,,,,,,,,,,,
27_val,,,0.9972,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.27,137.32,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0089,0.0054,0.0030
28,0.9910,11,,,,,,,,,,,,,,,,,,
28_val,,,0.9966,0.0177,0.0107,0.0060,0.0114,133.20,139.50,139.23,137.31,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0089,0.0054,0.0030
29,0.9882,11,,,,,,,,,,,,,,,,,,
29_val,,,0.9904,0.0177,0.0107,0.0063,0.0116,133.20,139.50,135.37,136.03,1.0000,1.0000,1.0000,0.0000,0.0000,0.0588,0.0089,0.0054,0.0032
30,0.9630,11,,,,,,,,,,,,,,,,,,
31,0.9633,11,,,,,,,,,,,,,,,,,,
31_val,,,0.9895,0.0177,0.0107,0.0065,0.0116,133.20,139.50,131.50,134.73,1.0000,1.0000,1.0000,0.0000,0.0000,0.0900,0.0089,0.0054,0.0033
32,0.9605,11,,,,,,,,,,,,,,,,,,
32_val,,,0.9889,0.0177,0.0107,0.0067,0.0117,133.20,139.50,130.45,134.39,1.0000,1.0000,1.0000,0.0000,0.0000,0.1057,0.0089,0.0054,0.0033
33,0.9546,11,,,,,,,,,,,,,,,,,,
33_val,,,0.9884,0.0177,0.0107,0.0068,0.0117,133.20,139.50,129.88,134.19,1.0000,1.0000,1.0000,0.0000,0.0000,0.1201,0.0089,0.0054,0.0034
34,0.9508,11,,,,,,,,,,,,,,,,,,
34_val,,,0.9879,0.0177,0.0107,0.0070,0.0118,132.20,139.50,128.30,133.34,1.0000,1.0000,1.0000,0.0013,0.0000,0.1491,0.0089,0.0054,0.0035
35,0.9490,11,,,,,,,,,,,,,,,,,,
35_val,,,0.9872,0.0182,0.0107,0.0075,0.0121,125.53,139.50,125.94,130.32,1.0000,1.0000,1.0000,0.0284,0.0000,0.2019,0.0092,0.0054,0.0037
36,0.9512,11,,,,,,,,,,,,,,,,,,
36_val,,,0.9837,0.0587,0.0107,0.0213,0.0302,98.19,139.50,101.83,113.17,1.0000,1.0000,1.0000,0.7113,0.0000,0.7248,0.0303,0.0054,0.0108
37,0.9333,11,,,,,,,,,,,,,,,,,,
37_val,,,0.9829,0.0603,0.0107,0.0221,0.0310,94.25,139.50,95.90,109.88,1.0000,1.0000,1.0000,0.7193,0.0000,0.7341,0.0311,0.0054,0.0112
38,0.9322,11,,,,,,,,,,,,,,,,,,
38_val,,,0.9825,0.0616,0.0107,0.0223,0.0315,91.97,139.50,96.98,109.48,1.0000,1.0000,1.0000,0.7255,0.0000,0.7366,0.0318,0.0054,0.0113
39,0.9363,11,,,,,,,,,,,,,,,,,,
39_val,,,0.9821,0.0627,0.0107,0.0222,0.0319,100.98,139.50,104.68,115.05,1.0000,1.0000,1.0000,0.7307,0.0000,0.7356,0.0324,0.0054,0.0112
40,0.9302,11,,,,,,,,,,,,,,,,,,
40_val,,,0.9815,0.0658,0.0107,0.0234,0.0333,89.83,139.50,93.87,107.73,1.0000,1.0000,1.0000,0.7441,0.0000,0.7492,0.0340,0.0054,0.0118
41,0.9272,11,,,,,,,,,,,,,,,,,,
41_val,,,0.9899,0.0675,0.0107,0.0235,0.0339,84.39,139.50,91.48,105.13,1.0000,1.0000,1.0000,0.7510,0.0000,0.7507,0.0349,0.0054,0.0119
42,0.9388,11,,,,,,,,,,,,,,,,,,
42_val,,,0.9815,0.0798,0.0107,0.0275,0.0393,82.95,139.50,88.55,103.67,1.0000,1.0000,1.0000,0.7922,0.0000,0.7876,0.0415,0.0054,0.0139
