Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice CORONARY,Val Mean Dice,Val HD95 CORONARY,Val Mean HD95,Val clDice CORONARY,Val Mean clDice,Val Sensitivity CORONARY,Val Specificity CORONARY,Val Precision CORONARY,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
0_val,,,0.5148,0.2535,0.2535,161.44,161.44,0.0969,0.0969,0.5454,0.9961,0.1698,,,
1,0.3580,140,,,,,,,,,,,2716.5,10151.0,100.0
1_val,,,0.4522,0.3062,0.3062,150.02,150.02,0.1608,0.1608,0.6447,0.9964,0.2077,,,
2,0.2885,140,,,,,,,,,,,3470.3,10381.0,100.0
2_val,,,0.4069,0.3590,0.3590,143.05,143.05,0.2256,0.2256,0.6572,0.9972,0.2550,,,
3,0.2763,140,,,,,,,,,,,3480.7,10381.0,100.0
3_val,,,0.3897,0.3536,0.3536,141.33,141.33,0.2354,0.2354,0.6749,0.9970,0.2457,,,
4,0.2807,140,,,,,,,,,,,3484.4,10381.0,100.0
4_val,,,0.3637,0.3979,0.3979,134.64,134.64,0.3045,0.3045,0.7047,0.9975,0.2824,,,
5,0.2590,140,,,,,,,,,,,3494.0,10381.0,100.0
5_val,,,0.3471,0.4056,0.4056,143.26,143.26,0.2928,0.2928,0.7006,0.9975,0.2914,,,
6,0.2394,140,,,,,,,,,,,3504.5,10381.0,100.0
6_val,,,0.3197,0.4541,0.4541,130.97,130.97,0.3592,0.3592,0.6738,0.9982,0.3505,,,
7,0.2499,140,,,,,,,,,,,3617.9,10381.0,100.0
7_val,,,0.3157,0.4434,0.4434,128.68,128.68,0.3444,0.3444,0.6906,0.9980,0.3329,,,
