Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.8644,24,,,,,,,,,,,,,,,,,,
1_val,,,0.6291,0.7193,0.4965,0.5264,0.5807,64.73,70.91,69.33,68.33,0.9446,0.7881,0.8782,0.9827,0.9860,0.9904,0.5896,0.3721,0.4038
2,0.3376,24,,,,,,,,,,,,,,,,,,
2_val,,,0.4603,0.9139,0.6396,0.8188,0.7908,3.35,16.80,6.84,9.00,0.8937,0.7706,0.8175,0.9986,0.9946,0.9991,0.9367,0.5563,0.8293
3,0.2750,24,,,,,,,,,,,,,,,,,,
3_val,,,0.4193,0.9134,0.6667,0.8344,0.8048,4.23,14.96,5.73,8.31,0.8831,0.7598,0.7900,0.9988,0.9958,0.9995,0.9480,0.6047,0.9088
4,0.2681,24,,,,,,,,,,,,,,,,,,
4_val,,,0.3989,0.9139,0.6623,0.8323,0.8028,4.66,15.34,5.77,8.59,0.9072,0.7901,0.8146,0.9981,0.9950,0.9992,0.9219,0.5815,0.8686
5,0.2410,24,,,,,,,,,,,,,,,,,,
5_val,,,0.3621,0.9162,0.7181,0.8404,0.8249,2.64,7.60,5.74,5.33,0.9177,0.7605,0.8120,0.9980,0.9973,0.9994,0.9160,0.6846,0.8965
6,0.2471,24,,,,,,,,,,,,,,,,,,
6_val,,,0.3462,0.9054,0.7026,0.8400,0.8160,12.40,11.78,5.77,9.98,0.9330,0.8100,0.8238,0.9969,0.9960,0.9993,0.8800,0.6282,0.8825
7,0.2344,24,,,,,,,,,,,,,,,,,,
7_val,,,0.3293,0.9198,0.6948,0.8396,0.8181,2.94,12.87,5.35,7.05,0.9166,0.8132,0.8251,0.9982,0.9957,0.9992,0.9244,0.6161,0.8763
