Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Balanced Accuracy,Val Macro F1,Val Recall MEL,Val Recall NV,Val Recall BCC,Val Recall AK,Val Recall BKL,Val Recall DF,Val Recall VASC,Val Recall SCC,Val Macro AUC OvR,Val Cohen Kappa,Peak RAM (MB),Peak VRAM (MB),Peak GPU Util (%)
1,0.1183,32,,,,,,,,,,,,,,2116.0,9776.0,84.0
1_val,,,0.0662,0.3116,0.1476,0.0000,0.7802,0.0000,0.0000,0.0000,0.0000,0.7778,0.0000,0.7289,0.0941,,,
2,0.0479,32,,,,,,,,,,,,,,3809.6,13060.0,93.0
2_val,,,0.0322,0.5196,0.2147,0.0000,0.8037,0.0000,0.0000,0.1053,0.8000,0.8889,0.0000,0.8434,0.1784,,,
3,0.0219,32,,,,,,,,,,,,,,4608.6,13040.0,68.0
3_val,,,0.0170,0.5985,0.3813,0.0000,0.9295,0.0000,0.0000,0.2632,0.8000,1.0000,0.0000,0.8940,0.3788,,,
4,0.0111,32,,,,,,,,,,,,,,4312.9,13088.0,94.0
4_val,,,0.0157,0.6071,0.3736,0.0000,0.9195,0.0000,0.0000,0.3158,0.8000,1.0000,0.0000,0.8992,0.3808,,,
5,0.0114,32,,,,,,,,,,,,,,4496.1,13068.0,94.0
5_val,,,0.0176,0.6430,0.2930,0.2500,0.8490,0.0000,0.0000,0.3158,0.8000,1.0000,0.0000,0.9220,0.2809,,,
