Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.9712,4,,,,,,,,,,,,,,,,,,
1_val,,,0.8994,0.2773,0.2494,0.1694,0.2320,94.17,85.59,90.41,90.05,0.9998,1.0000,1.0000,0.9779,0.9920,0.9924,0.1610,0.1424,0.0925
2,0.6240,4,,,,,,,,,,,,,,,,,,
2_val,,,0.7988,0.7806,0.4790,0.7337,0.6645,49.21,53.68,74.26,59.05,0.9951,0.9974,0.8669,0.9977,0.9971,0.9996,0.6422,0.3152,0.6360
3,0.4704,4,,,,,,,,,,,,,,,,,,
3_val,,,0.7639,0.8209,0.5442,0.8186,0.7279,6.00,7.55,2.24,5.26,0.9902,0.9878,0.7891,0.9982,0.9978,0.9999,0.7011,0.3755,0.8503
4,0.4328,4,,,,,,,,,,,,,,,,,,
4_val,,,0.7408,0.7899,0.4918,0.8252,0.7023,7.07,8.06,3.00,6.04,0.9921,0.9982,0.9402,0.9978,0.9973,0.9997,0.6561,0.3262,0.7353
5,0.4161,4,,,,,,,,,,,,,,,,,,
5_val,,,0.7035,0.7816,0.6161,0.8409,0.7462,10.00,7.07,2.00,6.36,0.9963,0.9800,0.8938,0.9977,0.9984,0.9998,0.6431,0.4493,0.7940
6,0.4158,4,,,,,,,,,,,,,,,,,,
6_val,,,0.6884,0.7695,0.5411,0.8406,0.7171,11.00,7.00,2.00,6.67,0.9958,0.9977,0.8925,0.9975,0.9978,0.9998,0.6271,0.3712,0.7945
7,0.4020,4,,,,,,,,,,,,,,,,,,
7_val,,,0.6563,0.8195,0.5396,0.8358,0.7316,5.10,6.71,2.00,4.60,0.9931,0.9982,0.9483,0.9982,0.9977,0.9998,0.6975,0.3698,0.7471
8,0.4004,4,,,,,,,,,,,,,,,,,,
8_val,,,0.6215,0.8369,0.6428,0.8034,0.7610,4.36,5.39,2.00,3.91,0.9916,0.9831,0.9826,0.9984,0.9986,0.9996,0.7239,0.4775,0.6795
9,0.4045,4,,,,,,,,,,,,,,,,,,
9_val,,,0.6083,0.8123,0.6938,0.8572,0.7878,5.39,4.69,1.41,3.83,0.9966,0.9477,0.8513,0.9981,0.9990,0.9999,0.6856,0.5472,0.8632
10,0.3882,4,,,,,,,,,,,,,,,,,,
10_val,,,0.6113,0.8427,0.5301,0.8485,0.7404,4.00,7.00,1.41,4.14,0.9911,0.9992,0.8376,0.9985,0.9977,0.9999,0.7330,0.3607,0.8596
11,0.3880,4,,,,,,,,,,,,,,,,,,
11_val,,,0.5625,0.8522,0.6065,0.8412,0.7666,3.74,6.08,1.41,3.75,0.9932,0.9900,0.9589,0.9986,0.9983,0.9998,0.7462,0.4372,0.7492
12,0.4030,4,,,,,,,,,,,,,,,,,,
12_val,,,0.7072,0.4543,0.3103,0.3547,0.3731,60.28,19.85,13.48,31.20,0.9998,1.0000,0.9987,0.9898,0.9941,0.9972,0.2939,0.1836,0.2156
13,0.4311,4,,,,,,,,,,,,,,,,,,
13_val,,,0.6953,0.7029,0.3974,0.5230,0.5411,105.15,56.04,10.25,57.15,0.9977,1.0000,0.9913,0.9964,0.9960,0.9986,0.5426,0.2480,0.3552
14,0.4215,4,,,,,,,,,,,,,,,,,,
14_val,,,0.6703,0.7524,0.4277,0.6411,0.6071,48.87,9.17,7.65,21.89,0.9976,0.9994,0.9950,0.9972,0.9965,0.9991,0.6039,0.2721,0.4729
15,0.4188,4,,,,,,,,,,,,,,,,,,
15_val,,,0.5549,0.8165,0.6960,0.8479,0.7868,52.70,4.90,1.41,19.67,0.9936,0.9625,0.9354,0.9981,0.9989,0.9998,0.6930,0.5451,0.7754
16,0.3996,4,,,,,,,,,,,,,,,,,,
16_val,,,0.4742,0.8863,0.7725,0.8523,0.8370,3.74,2.45,1.41,2.54,0.9905,0.7104,0.8113,0.9990,0.9998,0.9999,0.8019,0.8465,0.8976
17,0.3973,4,,,,,,,,,,,,,,,,,,
17_val,,,0.4685,0.8590,0.7434,0.8492,0.8172,4.36,2.83,1.41,2.87,0.9935,0.6820,0.7994,0.9986,0.9998,0.9999,0.7565,0.8170,0.9056
18,0.3649,4,,,,,,,,,,,,,,,,,,
18_val,,,0.4483,0.8785,0.6871,0.8637,0.8098,3.00,5.39,1.41,3.27,0.9770,0.9535,0.9320,0.9990,0.9989,0.9998,0.7980,0.5370,0.8047
19,0.3869,4,,,,,,,,,,,,,,,,,,
19_val,,,0.4889,0.8398,0.5156,0.8309,0.7288,5.48,7.28,2.24,5.00,0.9823,0.9937,0.9333,0.9985,0.9975,0.9998,0.7334,0.3482,0.7488
20,0.3653,4,,,,,,,,,,,,,,,,,,
20_val,,,0.4998,0.8246,0.4327,0.7037,0.6537,4.51,8.60,4.94,6.02,0.9904,1.0000,0.9916,0.9983,0.9965,0.9994,0.7063,0.2761,0.5454
21,0.3810,4,,,,,,,,,,,,,,,,,,
21_val,,,1.0244,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.70,158.91,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0042,0.0013,0.0008
22,1.1038,4,,,,,,,,,,,,,,,,,,
22_val,,,1.0004,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.70,158.91,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0042,0.0013,0.0008
23,1.0076,4,,,,,,,,,,,,,,,,,,
23_val,,,0.9994,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.82,158.95,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0042,0.0013,0.0008
24,0.9995,4,,,,,,,,,,,,,,,,,,
24_val,,,0.9996,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.86,158.96,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0042,0.0013,0.0008
25,0.9977,4,,,,,,,,,,,,,,,,,,
25_val,,,0.9995,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.88,158.97,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0042,0.0013,0.0008
26,0.9928,4,,,,,,,,,,,,,,,,,,
26_val,,,0.9992,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.87,158.97,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0042,0.0013,0.0008
27,0.9907,4,,,,,,,,,,,,,,,,,,
27_val,,,0.9990,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.83,158.95,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0042,0.0013,0.0008
28,0.9855,4,,,,,,,,,,,,,,,,,,
28_val,,,0.9989,0.0084,0.0026,0.0015,0.0042,155.19,160.84,160.78,158.94,1.0000,1.0000,1.0000,0.0000,0.0000,0.0001,0.0042,0.0013,0.0008
29,0.9866,4,,,,,,,,,,,,,,,,,,
29_val,,,0.9960,0.0084,0.0026,0.0017,0.0042,155.19,160.84,155.13,157.05,1.0000,1.0000,1.0000,0.0000,0.0000,0.0819,0.0042,0.0013,0.0008
30,0.9751,4,,,,,,,,,,,,,,,,,,
30_val,,,0.9957,0.0084,0.0026,0.0017,0.0042,155.19,160.84,153.01,156.35,1.0000,1.0000,1.0000,0.0000,0.0000,0.0916,0.0042,0.0013,0.0008
31,0.9706,4,,,,,,,,,,,,,,,,,,
31_val,,,0.9953,0.0084,0.0026,0.0017,0.0043,155.19,160.84,150.71,155.58,1.0000,1.0000,1.0000,0.0000,0.0000,0.1127,0.0042,0.0013,0.0009
32,0.9684,4,,,,,,,,,,,,,,,,,,
32_val,,,0.9952,0.0084,0.0026,0.0018,0.0043,155.19,160.84,150.10,155.38,1.0000,1.0000,1.0000,0.0000,0.0000,0.1234,0.0042,0.0013,0.0009
33,0.9688,4,,,,,,,,,,,,,,,,,,
33_val,,,0.9949,0.0084,0.0026,0.0018,0.0043,155.18,160.84,149.57,155.20,1.0000,1.0000,1.0000,0.0000,0.0000,0.1412,0.0042,0.0013,0.0009
34,0.9657,4,,,,,,,,,,,,,,,,,,
34_val,,,0.9945,0.0084,0.0026,0.0019,0.0043,153.08,160.84,146.54,153.49,1.0000,1.0000,1.0000,0.0031,0.0000,0.1932,0.0042,0.0013,0.0010
35,0.9656,4,,,,,,,,,,,,,,,,,,
35_val,,,0.9942,0.0091,0.0026,0.0022,0.0046,144.03,160.84,143.89,149.59,1.0000,1.0000,1.0000,0.0766,0.0000,0.2966,0.0046,0.0013,0.0011
36,0.9607,4,,,,,,,,,,,,,,,,,,
36_val,,,0.9925,0.0286,0.0026,0.0055,0.0122,108.25,160.84,112.61,127.23,1.0000,1.0000,1.0000,0.7122,0.0000,0.7198,0.0145,0.0013,0.0027
37,0.9526,4,,,,,,,,,,,,,,,,,,
37_val,,,0.9923,0.0296,0.0026,0.0056,0.0126,107.00,160.84,111.84,126.56,1.0000,1.0000,1.0000,0.7226,0.0000,0.7275,0.0150,0.0013,0.0028
38,0.9494,4,,,,,,,,,,,,,,,,,,
38_val,,,0.9924,0.0306,0.0026,0.0058,0.0130,106.33,160.84,112.52,126.56,1.0000,1.0000,1.0000,0.7318,0.0000,0.7329,0.0155,0.0013,0.0029
39,0.9510,4,,,,,,,,,,,,,,,,,,
39_val,,,0.9922,0.0320,0.0026,0.0058,0.0135,106.11,160.84,111.96,126.30,1.0000,1.0000,1.0000,0.7438,0.0000,0.7369,0.0163,0.0013,0.0029
40,0.9468,4,,,,,,,,,,,,,,,,,,
40_val,,,0.9920,0.0334,0.0026,0.0060,0.0140,105.73,160.84,111.51,126.03,1.0000,1.0000,1.0000,0.7549,0.0000,0.7447,0.0170,0.0013,0.0030
41,0.9464,4,,,,,,,,,,,,,,,,,,
41_val,,,0.9963,0.0336,0.0026,0.0058,0.0140,107.58,160.84,116.35,128.26,1.0000,1.0000,1.0000,0.7565,0.0000,0.7360,0.0171,0.0013,0.0029
42,0.9482,4,,,,,,,,,,,,,,,,,,
42_val,,,0.9929,0.0437,0.0026,0.0071,0.0178,104.57,160.84,109.35,124.92,1.0000,1.0000,1.0000,0.8149,0.0000,0.7839,0.0224,0.0013,0.0036
43,0.9416,4,,,,,,,,,,,,,,,,,,
43_val,,,0.9914,0.0462,0.0026,0.0076,0.0188,104.63,160.84,108.62,124.70,1.0000,1.0000,1.0000,0.8252,0.0000,0.7987,0.0236,0.0013,0.0038
44,0.9420,4,,,,,,,,,,,,,,,,,,
44_val,,,0.9908,0.0467,0.0026,0.0077,0.0190,104.41,160.84,108.93,124.73,1.0000,1.0000,1.0000,0.8270,0.0000,0.7997,0.0239,0.0013,0.0038
45,0.9407,4,,,,,,,,,,,,,,,,,,
45_val,,,0.9910,0.0470,0.0026,0.0076,0.0191,104.45,160.84,109.31,124.87,1.0000,1.0000,1.0000,0.8283,0.0000,0.7986,0.0241,0.0013,0.0038
46,0.9404,4,,,,,,,,,,,,,,,,,,
46_val,,,0.9908,0.0462,0.0026,0.0077,0.0188,104.62,160.84,109.40,124.95,1.0000,1.0000,1.0000,0.8251,0.0000,0.8001,0.0236,0.0013,0.0038
47,0.9363,4,,,,,,,,,,,,,,,,,,
47_val,,,0.9905,0.0473,0.0026,0.0078,0.0193,104.55,160.84,109.42,124.94,1.0000,1.0000,1.0000,0.8295,0.0000,0.8034,0.0242,0.0013,0.0039
48,0.9332,4,,,,,,,,,,,,,,,,,,
48_val,,,0.9902,0.0480,0.0026,0.0080,0.0195,104.44,160.84,109.24,124.84,1.0000,1.0000,1.0000,0.8319,0.0000,0.8085,0.0246,0.0013,0.0040
49,0.9355,4,,,,,,,,,,,,,,,,,,
49_val,,,0.9901,0.0485,0.0026,0.0082,0.0198,104.43,160.84,109.23,124.83,1.0000,1.0000,1.0000,0.8340,0.0000,0.8135,0.0249,0.0013,0.0041
50,0.9325,4,,,,,,,,,,,,,,,,,,
50_val,,,0.9903,0.0495,0.0026,0.0083,0.0201,104.36,160.84,109.26,124.82,1.0000,1.0000,1.0000,0.8374,0.0000,0.8144,0.0254,0.0013,0.0041
51,0.9320,4,,,,,,,,,,,,,,,,,,
51_val,,,0.9907,0.0445,0.0026,0.0071,0.0181,108.53,160.84,117.13,128.83,1.0000,1.0000,1.0000,0.8183,0.0000,0.7831,0.0228,0.0013,0.0035
52,0.9284,4,,,,,,,,,,,,,,,,,,
52_val,,,0.9898,0.0498,0.0026,0.0087,0.0204,103.46,160.84,108.15,124.15,1.0000,1.0000,1.0000,0.8383,0.0000,0.8234,0.0255,0.0013,0.0044
53,0.9256,4,,,,,,,,,,,,,,,,,,
53_val,,,0.9895,0.0519,0.0026,0.0091,0.0212,103.30,160.84,107.82,123.99,1.0000,1.0000,1.0000,0.8453,0.0000,0.8320,0.0266,0.0013,0.0046
54,0.9252,4,,,,,,,,,,,,,,,,,,
