Round/Epoch,Train Loss,SGD Steps,Val Loss,Val Dice WT,Val Dice TC,Val Dice ET,Val Mean Dice,Val HD95 WT,Val HD95 TC,Val HD95 ET,Val Mean HD95,Val Sensitivity WT,Val Sensitivity TC,Val Sensitivity ET,Val Specificity WT,Val Specificity TC,Val Specificity ET,Val Precision WT,Val Precision TC,Val Precision ET
1,0.9503,4,,,,,,,,,,,,,,,,,,
1_val,,,0.8191,0.4054,0.1518,0.1357,0.2310,86.10,91.14,93.20,90.15,0.9966,0.9991,0.9988,0.9621,0.9788,0.9787,0.2545,0.0821,0.0728
2,0.3952,4,,,,,,,,,,,,,,,,,,
2_val,,,0.6215,0.8618,0.3922,0.7940,0.6827,4.47,13.86,13.45,10.60,0.9807,0.9799,0.9680,0.9962,0.9943,0.9992,0.7686,0.2451,0.6730
3,0.2928,4,,,,,,,,,,,,,,,,,,
3_val,,,0.5704,0.8768,0.4386,0.8581,0.7245,3.61,11.35,2.45,5.80,0.9755,0.9568,0.9349,0.9968,0.9954,0.9996,0.7963,0.2845,0.7930
4,0.2757,4,,,,,,,,,,,,,,,,,,
4_val,,,0.5578,0.8581,0.4066,0.8205,0.6951,4.12,11.87,4.12,6.71,0.9817,0.9737,0.9642,0.9960,0.9946,0.9994,0.7621,0.2569,0.7140
5,0.2529,4,,,,,,,,,,,,,,,,,,
5_val,,,0.5141,0.8463,0.5103,0.8610,0.7392,5.00,10.34,2.45,5.93,0.9857,0.9390,0.9309,0.9955,0.9967,0.9996,0.7414,0.3504,0.8008
6,0.2420,4,,,,,,,,,,,,,,,,,,
6_val,,,0.5065,0.8281,0.4369,0.8512,0.7054,6.00,10.84,3.16,6.67,0.9889,0.9714,0.9462,0.9948,0.9953,0.9995,0.7123,0.2818,0.7735
7,0.2201,4,,,,,,,,,,,,,,,,,,
7_val,,,0.4811,0.8625,0.4344,0.8415,0.7128,3.74,10.77,3.16,5.89,0.9831,0.9692,0.9552,0.9961,0.9953,0.9995,0.7682,0.2800,0.7519
