             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          33377876  cool2022  D_NRT_1 oo_proce  R      20:56      1 cmscool0
          33377877   general ellipseL   dewnid PD       0:00      1 (PartitionDown)
          33377881   general ellipseL   dewnid PD       0:00      1 (PartitionDown)
          33377880   general ellipseL   dewnid PD       0:00      1 (PartitionDown)
          33377879   general ellipseL   dewnid PD       0:00      1 (PartitionDown)
          33346310   general   1Layer tkeberdl PD       0:00     10 (PartitionDown)
          33346296   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346316   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346315   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346323   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346322   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346321   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346320   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346319   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346318   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33346317   general IAPS_EPN gheindor PD       0:00      1 (PartitionDown)
          33358231   general s1_TS_ON  rmedema PD       0:00      1 (PartitionDown)
          33358241   general   CV10NS parkerhe PD       0:00      1 (PartitionDown)
          33358275   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358276   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358278   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358282   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358283   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358284   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358341   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33358340   general v30-swap parkerhe PD       0:00      1 (PartitionDown)
          33363341   general      Cct    jpang PD       0:00      1 (PartitionDown)
          33377678   general     bash jinjingj PD       0:00      1 (PartitionDown)
          33377782   general     bash jinjingj PD       0:00      1 (PartitionDown)
          33377668   general azo40.ci amdobber PD       0:00      1 (PartitionDown)
          33377670   general azo20.td amdobber PD       0:00      1 (PartitionDown)
          33377669   general azo30.op amdobber PD       0:00      1 (PartitionDown)
  33377679_[0-499]   general dock-tes  nroth24 PD       0:00      1 (PartitionDown)
          33377703   general slurmscr kinsleyt PD       0:00      1 (PartitionDown)
          33377784   general ellipseL kinsleyt PD       0:00      1 (PartitionDown)
          33377789   general ellipseL kinsleyt PD       0:00      1 (PartitionDown)
          33377791   general ellipseL kinsleyt PD       0:00      1 (PartitionDown)
          33377792   general ellipseL kinsleyt PD       0:00      1 (PartitionDown)
          33263362   general slurmscr kinsleyt  R 5-17:41:37      1 svc-3024-8-33
          33263361   general ellipseL kinsleyt  R 5-17:41:40      1 svc-3024-9-19
          33263359   general slurmscr kinsleyt  R 5-17:41:41      1 svc-3024-9-32
